VDiode! (V),Current (A)
-0.735375772,-0.00366969
-0.735042799,-0.003666052
-0.735042799,-0.003662415
-0.734709827,-0.003662415
-0.734709827,-0.003658777
-0.734709827,-0.003658777
-0.734709827,-0.003655139
-0.734709827,-0.003651501
-0.734376854,-0.003647863
-0.734376854,-0.003647863
-0.734376854,-0.003644225
-0.734376854,-0.003640587
-0.734376854,-0.003640587
-0.734043882,-0.003636949
-0.734043882,-0.003633311
-0.734043882,-0.003633311
-0.734043882,-0.003629673
-0.733710909,-0.003626036
-0.733710909,-0.003626036
-0.733710909,-0.003622398
-0.733710909,-0.00361876
-0.733377936,-0.00361876
-0.733710909,-0.003615122
-0.733377936,-0.003611484
-0.733377936,-0.003611484
-0.733377936,-0.003607846
-0.733044964,-0.003604208
-0.733044964,-0.003604208
-0.733044964,-0.00360057
-0.733044964,-0.003596932
-0.732711991,-0.003596932
-0.733044964,-0.003593295
-0.732711991,-0.003589657
-0.732711991,-0.003589657
-0.732711991,-0.003586019
-0.732379019,-0.003582381
-0.732379019,-0.003582381
-0.732379019,-0.003578743
-0.732379019,-0.003575105
-0.732379019,-0.003571467
-0.732046046,-0.003571467
-0.732046046,-0.003567829
-0.732046046,-0.003567829
-0.732046046,-0.003564191
-0.731713073,-0.003560554
-0.731713073,-0.003560554
-0.731713073,-0.003556916
-0.731380101,-0.003556916
-0.731380101,-0.003553278
-0.731380101,-0.00354964
-0.731380101,-0.003546002
-0.731380101,-0.003546002
-0.731047128,-0.003542364
-0.731047128,-0.003542364
-0.731047128,-0.003538726
-0.731047128,-0.003535088
-0.731047128,-0.003535088
-0.731047128,-0.00353145
-0.730714155,-0.00353145
-0.730381183,-0.003527812
-0.730714155,-0.003524175
-0.730381183,-0.003520537
-0.730381183,-0.003520537
-0.730381183,-0.003516899
-0.730381183,-0.003516899
-0.73004821,-0.003513261
-0.730381183,-0.003509623
-0.73004821,-0.003505985
-0.73004821,-0.003505985
-0.729715238,-0.003502347
-0.729715238,-0.003498709
-0.729715238,-0.003498709
-0.729715238,-0.003495071
-0.729382265,-0.003491434
-0.729382265,-0.003491434
-0.729382265,-0.003487796
-0.729382265,-0.003484158
-0.729049292,-0.003484158
-0.729049292,-0.00348052
-0.729049292,-0.003476882
-0.729049292,-0.003476882
-0.72871632,-0.003473244
-0.72871632,-0.003469606
-0.72871632,-0.003469606
-0.72871632,-0.003465968
-0.72871632,-0.00346233
-0.728383347,-0.003458693
-0.72871632,-0.003458693
-0.728383347,-0.003455055
-0.728383347,-0.003455055
-0.728383347,-0.003451417
-0.728050375,-0.003447779
-0.728050375,-0.003447779
-0.728050375,-0.003444141
-0.727717402,-0.003440503
-0.727717402,-0.003440503
-0.727717402,-0.003436865
-0.727717402,-0.003433227
-0.727384429,-0.003429589
-0.727384429,-0.003429589
-0.727384429,-0.003425951
-0.727051457,-0.003422314
-0.727051457,-0.003422314
-0.727051457,-0.003418676
-0.727051457,-0.003415038
-0.727051457,-0.003415038
-0.726718484,-0.0034114
-0.726718484,-0.0034114
-0.726718484,-0.003407762
-0.726718484,-0.003404124
-0.726385511,-0.003404124
-0.726385511,-0.003400486
-0.726385511,-0.003396848
-0.726385511,-0.003396848
-0.726385511,-0.00339321
-0.726052539,-0.003389573
-0.726052539,-0.003389573
-0.726052539,-0.003385935
-0.726052539,-0.003382297
-0.726052539,-0.003382297
-0.725719566,-0.003378659
-0.725719566,-0.003375021
-0.725719566,-0.003375021
-0.725719566,-0.003371383
-0.725719566,-0.003371383
-0.725719566,-0.003367745
-0.725386594,-0.003364107
-0.725053621,-0.003364107
-0.725053621,-0.003360469
-0.725053621,-0.003356832
-0.725053621,-0.003353194
-0.725053621,-0.003353194
-0.725053621,-0.003349556
-0.724720648,-0.003349556
-0.724720648,-0.003345918
-0.724720648,-0.00334228
-0.724387676,-0.00334228
-0.724387676,-0.003338642
-0.724387676,-0.003338642
-0.724387676,-0.003335004
-0.724387676,-0.003331366
-0.724387676,-0.003331366
-0.724054703,-0.003327728
-0.724054703,-0.00332409
