#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 17:14:39.617
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 18 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V
#Channel 2: Range: 200 mV/div Offset: 0 V
#Math 1: Function: C2*-1

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
0.0030090427272727273,0.011320056787799258,-0.22717673229364557,0.22717673229364557
0.0030090527272727272,0.011981815411322372,-0.22517889661592913,0.22517889661592913
0.0030090627272727271,0.010989177476054705,-0.22684375968065543,0.22684375968065543
0.0030090727272727271,0.010658298164282765,-0.22850862274541836,0.22850862274541836
0.0030090827272727274,0.013305332658402908,-0.22950754058433379,0.22950754058433379
0.0030090927272727274,0.014628849905407458,-0.23050645842320747,0.23050645842320747
0.0030091027272727273,0.011650936099569242,-0.23317023932683542,0.23317023932683542
0.0030091127272727273,0.012643574034853462,-0.2378318559081716,0.2378318559081716
0.0030091227272727272,0.014297970593658992,-0.24082860942474868,0.24082860942474868
0.0030091327272727272,0.014297970593672533,-0.24648914384492082,0.24648914384492082
0.0030091427272727271,0.011650936099618595,-0.24948589736153165,0.24948589736153165
0.0030091527272727275,0.010327418852580794,-0.25248265087814808,0.25248265087814808
0.0030091627272727274,0.014297970593698864,-0.25048481520046667,0.25048481520046667
0.0030091727272727273,0.016614125775990793,-0.25148373303933891,0.25148373303933891
0.0030091827272727273,0.011981815411331101,-0.2551464317818174,0.2551464317818174
0.0030091927272727272,0.011650936099567737,-0.25947507575020073,0.25947507575020073
0.0030092027272727272,0.016945005087714432,-0.25781021268547588,0.25781021268547588
0.0030092127272727271,0.017937643023051467,-0.25980804836314642,0.25980804836314642
0.0030092227272727275,0.01231269472302916,-0.26313777449276016,0.26313777449276016
0.0030092327272727274,0.0090039016055154554,-0.26480263755742645,0.26480263755742645
0.0030092427272727274,0.01330533265839689,-0.25914210313725672,0.25914210313725672
0.0030092527272727273,0.015290608528960815,-0.2568112948465982,0.2568112948465982
0.0030092627272727272,0.01396709128191519,-0.26147291142793438,0.26147291142793438
0.0030092727272727272,0.012643574034869562,-0.2618058840409066,0.2618058840409066
0.0030092827272727271,0.012643574034855718,-0.25847615791141909,0.25847615791141909
0.0030092927272727275,0.014297970593693298,-0.25947507575027701,0.25947507575027701
0.0030093027272727274,0.015290608528947725,-0.26180588404095506,0.26180588404095506
0.0030093127272727274,0.014297970593681561,-0.26480263755752531,0.26480263755752531
0.0030093227272727273,0.015290608528962621,-0.26746641846114177,0.26746641846114177
0.0030093327272727273,0.015290608528962621,-0.26879830891295214,0.26879830891295214
0.0030093427272727272,0.016283246464244134,-0.27312695288132754,0.27312695288132754
0.0030093527272727271,0.015621487840735917,-0.27645667901086057,0.27645667901086057
0.0030093627272727271,0.012643574034918011,-0.27878748730154362,0.27878748730154362
0.0030093727272727275,0.015290608528962621,-0.27079614459065504,0.27079614459065504
0.0030093827272727274,0.015290608528948176,-0.26913128152594301,0.26913128152594301
0.0030093927272727273,0.013967091281907516,-0.27212803504251631,0.27212803504251631
0.0030094027272727273,0.013636211970146108,-0.27512478855908956,0.27512478855908956
0.0030094127272727272,0.016614125775995758,-0.27912045991451967,0.27912045991451967
0.0030094227272727272,0.015290608528980076,-0.28444802172174954,0.28444802172174954
0.0030094327272727271,0.014959729217205578,-0.28910963830309455,0.28910963830309455
0.0030094427272727275,0.015621487840707477,-0.29576909056233053,0.29576909056233053
0.0030094527272727274,0.0146288499054696,-0.29876584407889534,0.29876584407889534
0.0030094627272727274,0.017275884399536024,-0.30109665236957478,0.30109665236957478
0.0030094727272727273,0.016283246464251205,-0.30509232372500578,0.30509232372500578
0.0030094827272727272,0.014628849905444923,-0.309087995080435,0.309087995080435
0.0030094927272727272,0.013305332658397492,-0.31241772120996453,0.31241772120996453
0.0030095027272727271,0.014628849905413025,-0.31175177598410475,0.31175177598410475
0.0030095127272727275,0.016614125776009299,-0.31108583075821139,0.31108583075821139
0.0030095227272727274,0.016283246464243079,-0.31241772121001693,0.31241772121001693
0.0030095327272727274,0.015621487840748856,-0.31341663904888906,0.31341663904888906
0.0030095427272727273,0.018268522334825364,-0.31608041995250019,0.31608041995250019
0.0030095527272727273,0.014959729217211296,-0.31508150211364239,0.31508150211364239
0.0030095627272727272,0.014959729217199258,-0.31474852950068738,0.31474852950068738
0.0030095727272727271,0.016945005087748741,-0.31574744733953247,0.31574744733953247
0.0030095827272727271,0.014297970593729108,-0.31341663904891581,0.31341663904891581
0.0030095927272727275,0.016614125776064824,-0.31008691291933138,0.31008691291933138
0.0030096027272727274,0.019592039581826752,-0.31075285814526288,0.31075285814526288
0.0030096127272727273,0.013636211970157996,-0.31408258427477653,0.31408258427477653
0.0030096227272727273,0.016614125776010655,-0.3144155568877291,0.3144155568877291
0.0030096327272727272,0.015952367152494464,-0.31574744733953763,0.31574744733953763
0.0030096427272727272,0.016614125776007044,-0.31841122824314799,0.31841122824314799
0.0030096527272727271,0.016614125776016071,-0.32207392698561282,0.32207392698561282
0.0030096627272727275,0.013967091281956116,-0.32640257095409364,0.32640257095409364
0.0030096727272727274,0.016614125776047369,-0.32640257095412512,0.32640257095412512
0.0030096827272727274,0.019261160270115148,-0.32906635185775568,0.32906635185775568
0.0030096927272727273,0.017937643023069522,-0.3333949958261393,0.3333949958261393
0.0030097027272727272,0.015952367152501083,-0.33406094105204442,0.33406094105204442
