Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20,0.0099219895372395,-0.1268429648259346,-6.54310385158413
21.26653143274324,0.009993049642758736,-0.134897079447084,-6.952824699867165
22.61326795899278,0.01010575538994963,-0.1438157984257692,-7.385249096756169
24.04528869234826,0.01007567245011245,-0.1537627119670948,-7.846378775051193
25.56799438926046,0.01006254351411488,-0.1650848321257589,-8.334259547576906
27.18712781757051,0.009922031797672719,-0.1774933141728322,-8.851951769618196
28.90879541491856,0.01017361156175781,-0.1919093242256963,-9.399755313659483
30.73949031870542,0.01019779871998657,-0.2075480685362622,-9.979825844563877
32.68611685446275,0.009982676851092156,-0.2252153603146972,-10.59501344154359
34.75601657498753,0.009948941561758446,-0.2454854592468434,-11.24406335623729
36.95699594844582,0.01000147158630042,-0.2679217614304782,-11.93099833274534
39.29735579986936,0.009856710072470413,-0.2929270650298733,-12.65931993628405
41.78592261708077,0.009719484082814724,-0.3210033385499575,-13.42775060445013
44.43208183911624,0.009808286259052786,-0.3527031161025321,-14.23764688033078
47.24581325268925,0.01002494236051302,-0.3881201819887273,-15.09243616882344
50.23772863019159,0.009977472688745059,-0.4276768128783907,-15.99532875562616
53.41911175117971,0.009696125084159672,-0.4712729493378509,-16.94362764903792
56.80196095828428,0.009830172702867328,-0.52058656592276,-17.94412816864984
60.39903440804031,0.009923479251986923,-0.5746209658063551,-18.98541190579892
64.22389818729648,0.009775120178808456,-0.6363281496556858,-20.08802977207041
68.29097747667201,0.00973170585653174,-0.703341267390989,-21.24002051891115
72.61561095402028,0.009789507443641885,-0.7784592478812016,-22.4401705752171
77.2141086430763,0.009719752638678936,-0.8615206571387591,-23.6939066030505
82.10381342546157,0.009632647205708779,-0.9530506978872261,-25.0001782874815
87.30316644803322,0.009692315041584415,-1.054175442484332,-26.35774424433042
92.83177667225554,0.009766424615261931,-1.16585741624084,-27.76838518678258
98.71049482789614,0.009337913986924459,-1.288138835535944,-29.22257325952239
104.9614920499545,0.009371033278946287,-1.421885856148147,-30.72377045304867
111.6083434953993,0.009165317430352548,-1.568494727894121,-32.2678884660115
118.6761172550656,0.009114629021919811,-1.72761870439778,-33.85257908439377
126.1914688960386,0.008981704017158159,-1.900159562338047,-35.47321931056486
134.1827419910822,0.00922325880517081,-2.087835021954121,-37.12373582553889
142.6800750142513,0.008945911290705631,-2.289121562472182,-38.80084738183173
151.7155150058367,0.009000296772677528,-2.506805308354742,-40.49879290795189
161.3231384353227,0.008698454943350524,-2.738210696242935,-42.21008813131444
171.5391797181789,0.008852464240417099,-2.986687230547136,-43.9311294352683
182.4021678711819,0.008493555189597764,-3.250182660250538,-45.65478575869568
193.9530718216499,0.008088691065443169,-3.529542671486138,-47.37344243452257
206.2354549186112,0.008027369112896213,-3.824502817910091,-49.08270952786974
219.295639228637,0.008062810748158145,-4.134548513726715,-50.77593213606487
233.1828802359663,0.007678730403069243,-4.459603770662666,-52.4474044274884
247.9495526057888,0.007928343672811543,-4.799553804337299,-54.09400694904082
263.6513477112815,0.008351621711958083,-5.153195421420383,-55.70925475814503
280.3474836693539,0.007771392697891854,-5.520323907297891,-57.28412611504781
298.1009286772392,0.007657640142617009,-5.90009040587459,-58.82288577216285
316.9786384922228,0.007834908554209662,-6.293083065828458,-60.31811796989795
337.0518089501502,0.007550530162849704,-6.696180067040932,-61.76741297851821
358.3961444750668,0.007792955511171192,-7.112178595172869,-63.16592982371024
381.0921435926496,0.007905251523700691,-7.536406852291751,-64.51806046390944
405.2254025242286,0.007810402330952721,-7.971105981530691,-65.81765252237687
430.8869380063764,0.007491963556481455,-8.414634345391089,-67.06751842224776
458.1735305535549,0.008006271074005245,-8.866423478466189,-68.26257393089544
487.1880894584054,0.007745038230400066,-9.324595299584704,-69.412165768294
518.0400409062645,0.007462877400149377,-9.791022711699249,-70.50930371087793
550.8457406676332,0.007325287910602234,-10.26355610886883,-71.54837414213961
585.7289129250474,0.007926883930724889,-10.73967014257275,-72.54595642001044
622.8211168893516,0.007460756881316828,-11.2227648579709,-73.49452831199623
662.2622429651822,0.007453302681006886,-11.70923990494674,-74.39532270209563
704.2010403369042,0.007054285610730277,-12.2007067040894,-75.25112112244665
748.7956779647621,0.007723147958915848,-12.69688452138978,-76.0578327799238
796.2143411069947,0.007207934678063828,-13.19316841147527,-76.83006605256949
846.6358656176423,0.007904145740932272,-13.69253989370907,-77.55707788925855
900.2504124122673,0.007841465714232464,-14.19663616786606,-78.24389947946887
957.260184645276,0.008211856943956583,-14.70518683009133,-78.88746613728659
1017.880190303619,0.00709311893993898,-15.21470903272684,-79.52659680849895
1082.339053092928,0.008141658644891922,-15.72270439173863,-80.11277826382965
1150.879874674313,0.007511344583773011,-16.23861938099687,-80.65312744255334
1223.761151503644,0.007931331818930989,-16.75364360487394,-81.17122445773708
1301.257749731115,0.007874807237246484,-17.2691617024981,-81.67560120578979
