Time (s),Channel 1 (V),Channel 2 (V)
-0.003719437797986933,-1.034392409710614,-0.5350757426657899
-0.003718187797986933,-1.03406053706182,-0.5350757426657899
-0.003716937797986933,-1.03406053706182,-0.5360769259719816
-0.003715687797986933,-1.033396791764231,-0.5367443815094424
-0.003714437797986933,-1.03406053706182,-0.5370781092781728
-0.003713187797986933,-1.033728664413026,-0.5380792925843643
-0.003711937797986933,-1.033396791764231,-0.5387467481218252
-0.003710687797986933,-1.034392409710614,-0.5394142036592858
-0.003709437797986933,-1.033728664413026,-0.5397479314280167
-0.003708187797986933,-1.03406053706182,-0.5404153869654781
-0.003706937797986933,-1.034392409710614,-0.5414165702716691
-0.003705687797986933,-1.03406053706182,-0.5417502980403998
-0.003704437797986933,-1.03406053706182,-0.5420840258091301
-0.003703187797986933,-1.03406053706182,-0.5430852091153215
-0.003701937797986933,-1.034392409710614,-0.5437526646527825
-0.003700687797986933,-1.03406053706182,-0.544086392421513
-0.003699437797986933,-1.033728664413026,-0.5447538479589736
-0.003698187797986933,-1.033728664413026,-0.5450875757277045
-0.003696937797986933,-1.034724282359408,-0.5454213034964354
-0.003695687797986933,-1.034392409710614,-0.5464224868026264
-0.003694437797986933,-1.03406053706182,-0.5474236701088184
-0.003693187797986933,-1.034724282359408,-0.5487585811837398
-0.003691937797986933,-1.03406053706182,-0.5487585811837398
-0.003690687797986933,-1.033728664413026,-0.5494260367212005
-0.003689437797986933,-1.033728664413026,-0.5500934922586618
-0.003688187797986933,-1.03406053706182,-0.5504272200273921
-0.003686937797986933,-1.034392409710614,-0.5504272200273922
-0.003685687797986933,-1.033728664413026,-0.5517621311023145
-0.003684437797986933,-1.03406053706182,-0.5524295866397751
-0.003683187797986933,-1.033728664413026,-0.5527633144085057
-0.003681937797986933,-1.03406053706182,-0.5534307699459666
-0.003680687797986933,-1.034392409710614,-0.5540982254834276
-0.003679437797986933,-1.033728664413026,-0.5547656810208882
-0.003678187797986933,-1.033728664413026,-0.5554331365583496
-0.003676937797986933,-1.03406053706182,-0.5564343198645405
-0.003675687797986933,-1.034392409710614,-0.5567680476332715
-0.003674437797986933,-1.034392409710614,-0.5571017754020025
-0.003673187797986933,-1.034724282359408,-0.5581029587081934
-0.003671937797986933,-1.03406053706182,-0.5587704142456544
-0.003670687797986933,-1.03406053706182,-0.5594378697831154
-0.003669437797986933,-1.03406053706182,-0.5597715975518458
-0.003668187797986933,-1.033728664413026,-0.5607727808580368
-0.003666937797986933,-1.03406053706182,-0.5614402363954982
-0.003665687797986933,-1.034392409710614,-0.5617739641642291
-0.003664437797986933,-1.034392409710614,-0.5624414197016897
-0.003663187797986933,-1.034392409710614,-0.5627751474704207
