Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.006221738357194266,-63.82236792761384,72.19606662134561
1035.953351979768,0.007054513845107286,-63.18152621535368,72.29419143179692
1073.199347478117,0.006562119525611476,-63.23238450183531,72.0970205597267
1111.784461362454,0.006645658840783928,-62.67951695196083,73.18792284251276
1151.756839427454,0.007413486101597481,-62.21205462322126,72.40462071564272
1193.166358470495,0.00683946238584031,-62.09269700995166,75.9312538366157
1236.064688527002,0.007987182453764037,-62.00810684734279,74.1437058492759
1280.505357343375,0.00762867185118579,-61.65506913074361,74.75352874900481
1326.543817167919,0.00777759693649435,-61.36666844051612,76.32270341759751
1374.237513943141,0.007903899933391419,-61.26612372332352,76.45051513014674
1423.645958985739,0.007979845270344401,-60.97877834378803,76.49233129883356
1474.830803243728,0.007689815838758397,-60.63962372040413,76.98608162608524
1527.855914223352,0.007108185230292587,-59.88280831510291,77.81119318860209
1582.787455681794,0.007850312933883531,-60.118178318448,76.31313055038046
1639.693970185082,0.008250273067956485,-59.57216097743433,79.62945225366389
1698.646464634249,0.006932432499737386,-59.36554039954456,79.32025779734286
1759.718498866431,0.008565296286472759,-59.14332971280524,79.29568681659208
1822.986277441484,0.009741646849877729,-58.98626472321403,79.62518364291161
1888.528744728623,0.009339897382215983,-58.21879830216265,79.93524972339932
1956.427683411762,0.009539871080977225,-58.51118311510562,81.76938612608888
2026.767816536424,0.009787514104032728,-57.86141316844282,79.84600869823559
2099.636913225623,0.01015868971258567,-57.30676495302976,81.14429068205229
2175.125898196537,0.008847747574996215,-57.26248006543823,80.68452792990433
2253.328965214705,0.009782281775547132,-56.99413439960519,81.64932804287963
2334.343694627274,0.01096473171383475,-56.61655168032858,80.51220649432992
2418.271175121959,0.01136308412107928,-56.35958988237277,82.17610759744355
2505.216129863645,0.01070411804018909,-56.03088959223371,81.48692800479239
2595.287047166022,0.0122324211756693,-55.62260863279956,82.13180198101111
2688.596315861314,0.01116581595168814,-55.43386533643598,82.96092454573557
2785.260365536983,0.01262029871840867,-55.22283765496458,83.46247389471546
2885.399811814428,0.01245962922607038,-54.72306957970507,83.67788296796297
2989.139606850948,0.01350540770027867,-54.20595416317731,83.71496335582259
3096.609195252725,0.01488857251601884,-54.06465647866814,84.10544407955555
3207.942675593429,0.0150293656169583,-53.94251185395038,84.42069993521272
3323.278967739958,0.01502889114231381,-53.30494082957262,84.16329197186884
3442.76198619407,0.01594423287311627,-53.09063418241617,84.81703739881846
3566.540819666268,0.01510804130731798,-52.62401174443983,84.76320053464612
3694.76991710594,0.01642360896035092,-52.42778040886108,85.33418770329607
3827.609280419905,0.0167859978237309,-51.98077382453238,84.76547990390588
3965.224664119866,0.0187530729653817,-51.69055852117786,86.1055993266647
4107.787782147821,0.01802570244610158,-51.41829013608764,85.3815552827578
4255.47652213757,0.01940375807220418,-51.01602675270028,85.49013702517541
4408.475167379621,0.01988825062647191,-50.78169360729043,84.91676399102978
4566.974626766481,0.02109111575696207,-50.35537206355963,85.98730956763445
4731.172673005286,0.02112564342874888,-49.90533815069714,85.6675026605127
4901.274189394904,0.02241901117198212,-49.4912050008314,86.25198226893923
5077.491425475564,0.02359018249868301,-49.21106571608668,85.81709911331069
5260.044261869941,0.02012209480806359,-48.81283350899325,86.41277185557277
5449.160484646109,0.02389067554814971,-48.44114123080432,86.504391969484
5645.076069544827,0.02594205438064861,-48.0965808029486,86.44242809448065
5848.035476425734,0.02614489810429092,-47.65413664605273,86.77604202353547
6058.291954299841,0.02449721686673335,-47.37208267976486,86.7118695668587
6276.107857328971,0.01824831561780471,-46.90261251510691,86.61840535325896
6501.754972186503,0.01495316424061926,-46.51569576778344,86.38424071195419
6735.51485718773,0.02910292169313373,-46.09018451073644,87.55350409556871
6977.679193613154,0.03085610129278832,-45.67074647945466,86.89074938857604
7228.550149663025,0.02585559015989797,-45.19801407899546,86.86465530645117
7488.44075749726,0.0249653052697065,-44.83053666137738,86.88559151323091
7757.675303831199,0.02142454663900267,-44.33844442629653,86.5473287589901
8036.58973457459,0.02521221897252459,-43.94647841951325,87.39800307888876
8325.532074018734,0.03241838835399348,-43.37907883786818,86.98243212731944
8624.862859094777,0.03717494324055259,-42.91290401213506,86.84376327135857
8934.955589245033,0.03758974366401336,-42.37375022365347,86.69345574637666
9256.197192468744,0.0378907989511396,-41.80264731589835,87.03387385083253
9588.988508123717,0.02317383334724412,-41.27872702586295,86.88641094538009
9933.744787086234,0.03983041426726298,-40.6671804669563,86.71310529741766
10290.89620989352,0.04065727506365677,-40.04629868304094,86.62601433798756
10660.88842351508,0.03633890548004289,-39.39581823478859,86.61398232856898
11044.18309742275,0.04265217955887481,-38.66890516508734,86.44410996948179
11441.25849965338,0.0443440334017432,-37.88395270010313,86.31230234113863
11852.61009358293,0.03013010450937821,-37.06204227191192,86.11006863837169
12278.75115615646,0.04595284372044323,-36.14326015235232,85.75179292233156
12720.21341834573,0.04477713971631045,-35.14718705196331,85.38333386492452
13177.54772863328,0.04806910750806188,-34.0088317564848,84.85764532143303
13651.32474035101,0.04876380304673832,-32.76552906414865,84.25928460759
14142.13562373096,0.04911384508000391,-31.27011910341101,83.36756031305602
14650.59280355657,0.05039877213825345,-29.54798735753463,82.02408184839231
15177.33072333508,0.0509812005704716,-27.36397979382156,79.93997182372765
15723.00663694449,0.05201125371551191,-24.45768106608953,76.10387911697376
16288.30142874276,0.05239285238145003,-20.13293880558109,66.96911180941696
16873.92046316291,0.04857366207398632,-12.99135986916223,25.47950642317537
17480.59446485361,0.0550298834573074,-15.45650239963353,-48.50405990058321
18109.08043046405,0.05423884644991438,-21.02118703624888,-70.29393751225498
18760.16257321045,0.05525288527564094,-24.80684576364413,-77.70331774353917
19434.65330140276,0.04096697965029399,-27.54867235094088,-81.23823374028332
20133.39423215283,0.04212781072205876,-29.64176926566199,-83.30253309274747
20857.25724152885,0.05728095998621692,-31.33428628840623,-84.45064688497885
21607.14555246607,0.05872705309922192,-32.79202808341593,-85.28373408035608
22383.99486179197,0.04350448825499983,-34.06717848817933,-85.96514176674117
23188.77450777128,0.06014648649117578,-35.11256743331491,-86.54718185488912
24022.48867962863,0.06183258672700854,-36.17614191554546,-86.95450481689821
24886.17767055731,0.06123019620096335,-37.04755513119348,-87.61276884358712
25780.91917577787,0.06289205647799367,-37.87357836276259,-87.40271484572025
26707.82963726656,0.04791460457947821,-38.68636475891829,-87.85830814894938
27668.06563683087,0.06580367847495903,-39.29658272979043,-87.52707028323107
28662.82533927115,0.05710941185300157,-40.10840965493317,-88.25865266736866
29693.34998742857,0.06730511267165327,-40.68424140539658,-87.9114531478114
30760.925450985,0.06405611306455875,-41.18412619350339,-88.60794893275587
31866.88383094765,0.06726623047561932,-41.73047067818008,-88.67911583809672
33012.60512182009,0.06980445654587315,-42.39402154101653,-88.02640537283429
34199.51893353395,0.07020981232266903,-42.69422655672861,-88.1365921218859
35429.10627529002,0.06617112682793051,-43.33774954445921,-89.3152781070303
36702.90140353412,0.0706251563603662,-43.72898210015207,-89.1064357615562
38022.49373637407,0.07362038026955475,-44.3900090953076,-86.57794173608943
39389.52983682643,0.07522727535454118,-44.83804543314808,-89.31747101550357
40805.71546736739,0.07567194981835086,-45.33431012325229,-88.14324621686842
42272.81771835191,0.07821916911863933,-45.68150816714831,-88.79290700076604
43792.66721295637,0.07747235856938292,-45.85571896796348,-87.64461957205873
45367.16039139659,0.07290213071950639,-46.43428598340875,-89.05285691563016
46998.26187727106,0.07986033663692724,-46.65361188245021,-89.48011228832195
48688.00692898185,0.08112215599570902,-47.36521100633822,-88.82041986292728
50438.50397929289,0.07331229562043017,-47.39044064032836,-87.35540144557248
52251.93726619332,0.08477187504041483,-47.96797842351977,-87.955214669581
54130.56955834948,0.08566002942525443,-48.49643527670849,-89.49453153747828
56076.74497854612,0.08831686070904979,-48.65239841644094,-88.63267352255303
58092.89192863946,0.09240764347532573,-49.05928760487177,-90.77893449104371
60181.52611967239,0.0918486283245544,-49.27114833485325,-88.78152769785945
62345.25371093257,0.08672857515502133,-49.87517991132695,-88.89071876325298
64586.77456186961,0.09563941132459482,-49.87583471504267,-90.22494912346424
66908.88560093041,0.08980505942883742,-50.72585243579528,-88.73070578730722
69314.48431551467,0.09937514807097327,-50.74765559965562,-86.46707326880518
71806.57236740642,0.100044914871387,-51.14760375854564,-89.21101292091717
74388.25933819242,0.1034827218063128,-51.75992899010626,-91.91049380168687
77062.76660934066,0.1042354200470016,-51.78200325874097,-88.63246628066986
79833.43138178097,0.1028120730028532,-51.86455940260726,-89.03631111634152
82703.71084000278,0.107818155998008,-52.2492265772338,-90.72893362946746
85677.18646586627,0.1090155572810778,-52.93867828119992,-92.51228040935952
88757.56850750976,0.1103576072998924,-53.12873455977731,-92.95802134204725
91948.70060892859,0.1076944018101272,-53.18837005460541,-87.92223156773333
95254.56460600362,0.1062970264406406,-53.88899346764428,-90.8849979769229
98679.28549496279,0.1161483521673336,-53.77300035151465,-91.39326951530336
102227.1365794751,0.1180601353073133,-54.45975851247488,-92.10167267656404
105902.5448028008,0.1162806199810773,-54.45625625723528,-90.41004977617791
109710.096271649,0.1193017041183791,-54.84593914643397,-88.69610459982181
113654.5419786377,0.116569845368049,-55.40602080653105,-90.29616594919327
117740.8037304949,0.1207461279678378,-55.57316889367249,-88.61264825132537
121973.9802893981,0.1225773983742796,-55.95205546259099,-93.1158663050029
126359.3537351161,0.1232977956356916,-55.30350288272447,-88.53947074929292
130902.3960558907,0.1107862515332731,-56.43786345582039,-90.05514155120615
135608.775976283,0.1221075549021898,-56.7559576816267,-90.20759968587487
140484.3660305038,0.1231109958172326,-57.53733114881919,-95.16349849274656
145535.2498900529,0.1215010880140116,-57.7932791518454,-90.716649341395
150767.7299548134,0.1207079992609302,-57.97528420235319,-91.42776273984498
156188.3352170694,0.1140118428915807,-58.0777427922973,-95.57177543425684
161803.8294082625,0.1035581753353425,-58.71415849678247,-83.84380215851365
167621.2194386521,0.1068578367789117,-59.27170233249227,-94.63121798697495
173647.7641404078,0.1071273179651217,-59.69652403293163,-94.19172441257396
179890.9833250475,0.1006424305958572,-59.35117273110228,-85.64395566800943
186358.6671665194,0.1004457286566978,-59.27336610048097,-92.09204847464731
193058.8859216376,0.1059558612591208,-59.4329597031216,-91.20707648274504
200000,0.0998104911694003,-61.14100046552739,-87.23868783362812
