Voltage(V),Current(A)
-1.872347489,-0.036887308
-1.872324597,-0.036886665
-1.872301505,-0.036886015
-1.872278212,-0.036885361
-1.872254716,-0.0368847
-1.872231016,-0.036884034
-1.872207112,-0.036883362
-1.872183003,-0.036882684
-1.872158687,-0.036882
-1.872134165,-0.036881311
-1.872109435,-0.036880616
-1.872084496,-0.036879915
-1.872059348,-0.036879208
-1.872033989,-0.036878495
-1.872008419,-0.036877776
-1.871982637,-0.036877051
-1.871956642,-0.03687632
-1.871930432,-0.036875584
-1.871904008,-0.036874841
-1.871877368,-0.036874092
-1.871850512,-0.036873337
-1.871823438,-0.036872576
-1.871796145,-0.036871808
-1.871768634,-0.036871035
-1.871740902,-0.036870255
-1.871712949,-0.03686947
-1.871684775,-0.036868678
-1.871656378,-0.036867879
-1.871627757,-0.036867075
-1.871598911,-0.036866264
-1.871569841,-0.036865447
-1.871540544,-0.036864623
-1.87151102,-0.036863793
-1.871481268,-0.036862957
-1.871451287,-0.036862114
-1.871421076,-0.036861264
-1.871390635,-0.036860409
-1.871359962,-0.036859546
-1.871329057,-0.036858678
-1.871297918,-0.036857802
-1.871266545,-0.03685692
-1.871234938,-0.036856032
-1.871203094,-0.036855137
-1.871171014,-0.036854235
-1.871138696,-0.036853326
-1.87110614,-0.036852411
-1.871073344,-0.036851489
-1.871040308,-0.03685056
-1.87100703,-0.036849625
-1.870973511,-0.036848683
-1.870939749,-0.036847733
-1.870905743,-0.036846777
-1.870871492,-0.036845815
-1.870836996,-0.036844845
-1.870802253,-0.036843868
-1.870767263,-0.036842884
-1.870732025,-0.036841894
-1.870696538,-0.036840896
-1.870660801,-0.036839892
-1.870624813,-0.03683888
-1.870588573,-0.036837861
-1.870552081,-0.036836835
-1.870515336,-0.036835802
-1.870478336,-0.036834762
-1.870441081,-0.036833715
-1.87040357,-0.03683266
-1.870365801,-0.036831599
-1.870327776,-0.03683053
-1.870289491,-0.036829453
-1.870250947,-0.03682837
-1.870212142,-0.036827279
-1.870173076,-0.036826181
-1.870133748,-0.036825075
-1.870094157,-0.036823962
-1.870054301,-0.036822842
-1.870014181,-0.036821714
-1.869973795,-0.036820579
-1.869933143,-0.036819436
-1.869892223,-0.036818286
-1.869851035,-0.036817128
-1.869809577,-0.036815962
-1.86976785,-0.036814789
-1.869725851,-0.036813609
-1.869683581,-0.03681242
-1.869641038,-0.036811225
-1.869598221,-0.036810021
-1.86955513,-0.03680881
-1.869511763,-0.03680759
-1.86946812,-0.036806364
-1.8694242,-0.036805129
-1.869380002,-0.036803886
-1.869335525,-0.036802636
-1.869290769,-0.036801378
-1.869245731,-0.036800112
-1.869200413,-0.036798838
-1.869154811,-0.036797556
-1.869108927,-0.036796266
-1.869062758,-0.036794968
-1.869016305,-0.036793663
-1.868969565,-0.036792349
-1.868922539,-0.036791027
-1.868875225,-0.036789697
-1.868827623,-0.036788359
-1.868779731,-0.036787012
-1.868731548,-0.036785658
-1.868683075,-0.036784295
-1.86863431,-0.036782924
-1.868585251,-0.036781545
-1.868535899,-0.036780158
-1.868486253,-0.036778762
-1.86843631,-0.036777358
-1.868386072,-0.036775946
-1.868335535,-0.036774526
-1.868284701,-0.036773097
-1.868233568,-0.036771659
-1.868182135,-0.036770213
-1.868130401,-0.036768759
-1.868078365,-0.036767296
-1.868026027,-0.036765825
-1.867973385,-0.036764345
-1.867920439,-0.036762857
-1.867867187,-0.03676136
-1.86781363,-0.036759854
-1.867759766,-0.03675834
-1.867705593,-0.036756818
-1.867651112,-0.036755286
-1.867596322,-0.036753746
-1.867541221,-0.036752197
-1.867485809,-0.036750639
-1.867430084,-0.036749073
-1.867374046,-0.036747498
-1.867317695,-0.036745914
-1.867261028,-0.036744321
-1.867204046,-0.036742719
-1.867146747,-0.036741108
-1.867089131,-0.036739489
-1.867031196,-0.03673786
-1.866972942,-0.036736223
-1.866914368,-0.036734576
-1.866855473,-0.03673292
-1.866796256,-0.036731256
-1.866736716,-0.036729582
-1.866676853,-0.036727899
-1.866616665,-0.036726208
-1.866556152,-0.036724507
-1.866495312,-0.036722796
-1.866434146,-0.036721077
-1.866372651,-0.036719348
-1.866310827,-0.036717611
-1.866248674,-0.036715863
-1.86618619,-0.036714107
-1.866123374,-0.036712341
-1.866060226,-0.036710566
-1.865996745,-0.036708782
-1.865932929,-0.036706988
-1.865868779,-0.036705185
-1.865804292,-0.036703372
-1.865739469,-0.03670155
-1.865674308,-0.036699718
-1.865608809,-0.036697877
-1.86554297,-0.036696026
-1.865476791,-0.036694166
-1.86541027,-0.036692296
-1.865343408,-0.036690417
-1.865276202,-0.036688528
-1.865208653,-0.036686629
-1.865140759,-0.036684721
-1.865072519,-0.036682802
-1.865003933,-0.036680874
-1.864935,-0.036678937
-1.864865718,-0.036676989
-1.864796088,-0.036675032
-1.864726107,-0.036673065
-1.864655775,-0.036671088
-1.864585092,-0.036669101
-1.864514056,-0.036667105
-1.864442667,-0.036665098
-1.864370923,-0.036663081
-1.864298824,-0.036661055
-1.864226369,-0.036659018
-1.864153557,-0.036656971
-1.864080387,-0.036654915
-1.864006859,-0.036652848
-1.86393297,-0.036650771
-1.863858721,-0.036648684
-1.863784111,-0.036646587
-1.863709139,-0.036644479
-1.863633803,-0.036642362
-1.863558103,-0.036640234
-1.863482039,-0.036638096
-1.863405609,-0.036635948
-1.863328812,-0.036633789
-1.863251647,-0.03663162
-1.863174114,-0.036629441
-1.863096212,-0.036627251
-1.863017939,-0.036625051
-1.862939296,-0.03662284
-1.862860281,-0.036620619
-1.862780892,-0.036618388
-1.862701131,-0.036616146
-1.862620994,-0.036613893
-1.862540482,-0.03661163
-1.862459594,-0.036609357
-1.862378329,-0.036607073
-1.862296685,-0.036604778
