Voltage(V),Current(A)
-1.104446892,-0.040377765
-1.104439649,-0.040377051
-1.104432343,-0.04037633
-1.104424973,-0.040375603
-1.104417539,-0.040374869
-1.10441004,-0.040374129
-1.104402477,-0.040373383
-1.104394849,-0.04037263
-1.104387155,-0.040371871
-1.104379397,-0.040371105
-1.104371572,-0.040370333
-1.104363681,-0.040369555
-1.104355724,-0.04036877
-1.104347701,-0.040367978
-1.10433961,-0.04036718
-1.104331453,-0.040366375
-1.104323228,-0.040365563
-1.104314935,-0.040364745
-1.104306574,-0.04036392
-1.104298145,-0.040363088
-1.104289648,-0.04036225
-1.104281081,-0.040361405
-1.104272446,-0.040360553
-1.104263741,-0.040359694
-1.104254967,-0.040358828
-1.104246122,-0.040357955
-1.104237208,-0.040357076
-1.104228223,-0.040356189
-1.104219167,-0.040355296
-1.10421004,-0.040354395
-1.104200842,-0.040353487
-1.104191572,-0.040352573
-1.10418223,-0.040351651
-1.104172817,-0.040350722
-1.10416333,-0.040349786
-1.104153771,-0.040348843
-1.10414414,-0.040347893
-1.104134434,-0.040346935
-1.104124656,-0.04034597
-1.104114803,-0.040344998
-1.104104877,-0.040344019
-1.104094876,-0.040343032
-1.1040848,-0.040342038
-1.104074649,-0.040341036
-1.104064424,-0.040340027
-1.104054122,-0.040339011
-1.104043745,-0.040337987
-1.104033292,-0.040336956
-1.104022763,-0.040335917
-1.104012157,-0.04033487
-1.104001474,-0.040333816
-1.103990714,-0.040332755
-1.103979877,-0.040331686
-1.103968962,-0.040330609
-1.103957969,-0.040329524
-1.103946897,-0.040328432
-1.103935747,-0.040327332
-1.103924519,-0.040326224
-1.103913211,-0.040325108
-1.103901824,-0.040323984
-1.103890357,-0.040322853
-1.10387881,-0.040321714
-1.103867183,-0.040320567
-1.103855476,-0.040319412
-1.103843688,-0.040318249
-1.103831818,-0.040317077
-1.103819868,-0.040315898
-1.103807836,-0.040314711
-1.103795722,-0.040313516
-1.103783525,-0.040312313
-1.103771247,-0.040311101
-1.103758885,-0.040309882
-1.103746441,-0.040308654
-1.103733914,-0.040307418
-1.103721302,-0.040306174
-1.103708608,-0.040304921
-1.103695829,-0.04030366
-1.103682965,-0.040302391
-1.103670017,-0.040301114
-1.103656984,-0.040299828
-1.103643866,-0.040298534
-1.103630662,-0.040297231
-1.103617373,-0.04029592
-1.103603997,-0.0402946
-1.103590536,-0.040293272
-1.103576987,-0.040291936
-1.103563352,-0.04029059
-1.103549629,-0.040289237
-1.10353582,-0.040287874
-1.103521922,-0.040286503
-1.103507936,-0.040285123
-1.103493863,-0.040283735
-1.1034797,-0.040282337
-1.103465449,-0.040280931
-1.103451109,-0.040279517
-1.103436679,-0.040278093
-1.10342216,-0.040276661
-1.103407551,-0.040275219
-1.103392851,-0.040273769
-1.103378061,-0.04027231
-1.10336318,-0.040270842
-1.103348209,-0.040269365
-1.103333146,-0.040267879
-1.103317991,-0.040266384
-1.103302744,-0.04026488
-1.103287406,-0.040263366
-1.103271974,-0.040261844
-1.10325645,-0.040260313
-1.103240834,-0.040258772
-1.103225123,-0.040257222
-1.10320932,-0.040255663
-1.103193422,-0.040254095
-1.10317743,-0.040252517
-1.103161344,-0.04025093
-1.103145164,-0.040249334
-1.103128888,-0.040247728
-1.103112517,-0.040246113
-1.103096051,-0.040244489
-1.103079489,-0.040242855
-1.103062831,-0.040241211
-1.103046076,-0.040239559
-1.103029225,-0.040237896
-1.103012277,-0.040236224
-1.102995232,-0.040234543
-1.102978089,-0.040232852
-1.102960849,-0.040231151
-1.102943511,-0.04022944
