Time(s),Current(A)
0.318952784,1.13E-09
0.319889044,-3.19E-10
0.320827135,1.13E-09
0.321767058,-3.19E-10
0.322708816,1.13E-09
0.323652409,-3.19E-10
0.324597839,1.13E-09
0.325545109,-3.18E-10
0.32649422,1.13E-09
0.327445174,-3.18E-10
0.328397973,1.13E-09
0.329352619,-3.18E-10
0.330309112,1.13E-09
0.331267456,-3.18E-10
0.332227651,1.13E-09
0.3331897,-3.18E-10
0.334153605,1.13E-09
0.335119367,-3.17E-10
0.336086988,1.13E-09
0.33705647,-3.17E-10
0.338027814,1.13E-09
0.339001022,-3.17E-10
0.339976097,1.13E-09
0.34095304,-3.17E-10
0.341931853,1.13E-09
0.342912537,-3.17E-10
0.343895094,1.13E-09
0.344879527,-3.17E-10
0.345865836,1.13E-09
0.346854024,-3.16E-10
0.347844093,1.13E-09
0.348836044,-3.16E-10
0.349829879,1.13E-09
0.350825599,-3.16E-10
0.351823208,1.12E-09
0.352822705,-3.16E-10
0.353824094,1.12E-09
0.354827376,-3.16E-10
0.355832553,1.12E-09
0.356839626,-3.16E-10
0.357848598,1.12E-09
0.35885947,-3.15E-10
0.359872243,1.12E-09
0.360886921,-3.15E-10
0.361903503,1.12E-09
0.362921994,-3.15E-10
0.363942393,1.12E-09
0.364964703,-3.15E-10
0.365988926,1.12E-09
0.367015063,-3.15E-10
0.368043116,1.12E-09
0.369073088,-3.15E-10
0.370104979,1.12E-09
0.371138792,-3.14E-10
0.372174528,1.12E-09
0.373212189,-3.14E-10
0.374251777,1.12E-09
0.375293294,-3.14E-10
0.376336742,1.12E-09
0.377382122,-3.14E-10
0.378429436,1.12E-09
0.379478686,-3.14E-10
0.380529873,1.12E-09
0.381583,-3.14E-10
0.382638068,1.12E-09
0.383695079,-3.13E-10
0.384754035,1.12E-09
0.385814938,-3.13E-10
0.386877789,1.12E-09
0.38794259,-3.13E-10
0.389009344,1.12E-09
0.390078051,-3.13E-10
0.391148713,1.12E-09
0.392221333,-3.13E-10
0.393295912,1.12E-09
0.394372452,-3.13E-10
0.395450955,1.12E-09
0.396531422,-3.12E-10
0.397613855,1.12E-09
0.398698256,-3.12E-10
0.399784628,1.12E-09
0.400872971,-3.12E-10
0.401963287,1.12E-09
0.403055579,-3.12E-10
0.404149847,1.12E-09
0.405246094,-3.12E-10
0.406344322,1.12E-09
0.407444533,-3.12E-10
0.408546727,1.12E-09
0.409650907,-3.12E-10
0.410757075,1.12E-09
0.411865233,-3.11E-10
0.412975382,1.12E-09
0.414087524,-3.11E-10
0.415201661,1.12E-09
0.416317794,-3.11E-10
0.417435926,1.12E-09
0.418556058,-3.11E-10
0.419678192,1.12E-09
0.42080233,-3.11E-10
0.421928474,1.12E-09
0.423056625,-3.11E-10
0.424186785,1.12E-09
0.425318956,-3.11E-10
0.42645314,1.12E-09
0.427589339,-3.10E-10
0.428727553,1.12E-09
0.429867786,-3.10E-10
0.431010039,1.12E-09
0.432154313,-3.10E-10
0.433300611,1.12E-09
0.434448935,-3.10E-10
0.435599285,1.12E-09
0.436751664,-3.10E-10
0.437906074,1.12E-09
0.439062516,-3.10E-10
0.440220992,1.12E-09
0.441381504,-3.10E-10
0.442544054,1.12E-09
0.443708644,-3.09E-10
0.444875275,1.12E-09
0.446043949,-3.09E-10
0.447214668,1.12E-09
0.448387434,-3.09E-10
0.449562248,1.12E-09
0.450739112,-3.09E-10
0.451918029,1.12E-09
0.453099,-3.09E-10
0.454282026,1.12E-09
0.455467109,-3.09E-10
0.456654252,1.12E-09
0.457843456,-3.09E-10
0.459034722,1.12E-09
0.460228053,-3.08E-10
0.461423451,1.12E-09
0.462620917,-3.08E-10
0.463820452,1.12E-09
0.46502206,-3.08E-10
0.466225741,1.12E-09
0.467431497,-3.08E-10
0.46863933,1.12E-09
0.469849242,-3.08E-10
0.471061235,1.12E-09
0.472275311,-3.08E-10
0.47349147,1.12E-09
0.474709716,-3.08E-10
0.475930049,1.12E-09
0.477152472,-3.07E-10
0.478376987,1.12E-09
0.479603595,-3.07E-10
0.480832297,1.12E-09
0.482063097,-3.07E-10
0.483295995,1.12E-09
0.484530993,-3.07E-10
0.485768093,1.12E-09
0.487007298,-3.07E-10
0.488248608,1.12E-09
0.489492025,-3.07E-10
0.490737552,1.12E-09
0.49198519,-3.07E-10
0.49323494,1.12E-09
0.494486806,-3.06E-10
0.495740787,1.12E-09
0.496996887,-3.06E-10
0.498255107,1.12E-09
0.499515449,-3.06E-10
0.500001,1.11E-09
0.500001001,-3.48E-06
0.500002001,-1.25E-04
0.500002002,-1.22E-04
0.500002039,-6.16E-05
0.500002095,-2.51E-05
0.500002207,4.59E-06
0.500002431,-2.23E-06
0.50000274,1.34E-06
0.500003358,-1.04E-06
0.500004594,9.16E-07
0.500007066,-8.60E-07
0.50001201,8.34E-07
0.500021897,-8.21E-07
0.500041673,8.14E-07
0.500081224,-8.11E-07
0.500160325,8.10E-07
0.500318528,-8.09E-07
0.500634934,8.08E-07
0.501267746,-8.08E-07
0.502513648,8.08E-07
0.503761612,-8.08E-07
0.505011641,8.08E-07
0.506263736,-8.08E-07
0.507517899,8.08E-07
0.508774131,-8.08E-07
0.510032435,8.08E-07
0.511292812,-8.07E-07
0.512555263,8.07E-07
0.513819791,-8.07E-07
0.515086397,8.07E-07
0.516355082,-8.07E-07
0.51762585,8.07E-07
0.5188987,-8.07E-07
0.520173636,8.07E-07
0.521450658,-8.07E-07
0.522729768,8.07E-07
0.524010968,-8.07E-07
0.52529426,8.06E-07
0.526579646,-8.06E-07
0.527867127,8.06E-07
0.529156705,-8.06E-07
0.530448381,8.06E-07
0.531742157,-8.06E-07
0.533038036,8.06E-07
0.534336018,-8.06E-07
0.535636106,8.06E-07
0.536938301,-8.06E-07
0.538242604,8.05E-07
0.539549018,-8.05E-07
0.540857544,8.05E-07
0.542168185,-8.05E-07
0.543480941,8.05E-07
0.544795814,-8.05E-07
0.546112806,8.05E-07
0.547431919,-8.05E-07
0.548753155,8.05E-07
0.550076514,-8.05E-07
0.551402,8.04E-07
0.552729613,-8.04E-07
0.554059356,8.04E-07
0.555391229,-8.04E-07
0.556725235,8.04E-07
0.558061376,-8.04E-07
0.559399652,8.04E-07
0.560740067,-8.04E-07
0.562082621,8.04E-07
0.563427316,-8.04E-07
0.564774155,8.04E-07
0.566123137,-8.03E-07
0.567474267,8.03E-07
0.568827544,-8.03E-07
0.570182971,8.03E-07
0.571540549,-8.03E-07
0.572900281,8.03E-07
0.574262168,-8.03E-07
0.575626211,8.03E-07
0.576992412,-8.03E-07
0.578360774,8.03E-07
0.579731297,-8.03E-07
0.581103983,8.02E-07
0.582478835,-8.02E-07
0.583855854,8.02E-07
0.585235041,-8.02E-07
0.586616398,8.02E-07
0.587999927,-8.02E-07
0.58938563,8.02E-07
0.590773508,-8.02E-07
0.592163564,8.02E-07
0.593555798,-8.02E-07
0.594950212,8.02E-07
0.596346809,-8.01E-07
0.59774559,8.01E-07
0.599146556,-8.01E-07
0.600549709,8.01E-07
0.601955052,-8.01E-07
0.603362585,8.01E-07
0.604772311,-8.01E-07
0.606184231,8.01E-07
0.607598346,-8.01E-07
0.609014659,8.01E-07
0.610433172,-8.01E-07
0.611853885,8.01E-07
0.613276801,-8.00E-07
0.614701922,8.00E-07
0.616129248,-8.00E-07
0.617558782,8.00E-07
0.618990526,-8.00E-07
0.620424481,8.00E-07
0.621860649,-8.00E-07
0.623299031,8.00E-07
0.62473963,-8.00E-07
0.626182446,8.00E-07
0.627627483,-8.00E-07
0.629074741,7.99E-07
0.630524222,-7.99E-07
0.631975927,7.99E-07
0.63342986,-7.99E-07
0.63488602,7.99E-07
0.636344411,-7.99E-07
0.637805033,7.99E-07
0.639267889,-7.99E-07
0.640732979,7.99E-07
0.642200307,-7.99E-07
0.643669873,7.99E-07
0.645141679,-7.99E-07
0.646615727,7.98E-07
0.648092018,-7.98E-07
0.649570555,7.98E-07
0.651051339,-7.98E-07
0.652534372,7.98E-07
0.654019655,-7.98E-07
0.65550719,7.98E-07
0.656996979,-7.98E-07
0.658489024,7.98E-07
0.659983326,-7.98E-07
0.661479887,7.98E-07
0.662978708,-7.98E-07
0.664479792,7.97E-07
0.66598314,-7.97E-07
0.667488754,7.97E-07
0.668996635,-7.97E-07
0.670506785,7.97E-07
0.672019207,-7.97E-07
0.673533901,7.97E-07
0.675050869,-7.97E-07
0.676570113,7.97E-07
0.678091635,-7.97E-07
0.679615437,7.97E-07
0.681141519,-7.97E-07
0.682669885,7.96E-07
0.684200534,-7.96E-07
0.685733471,7.96E-07
0.687268695,-7.96E-07
0.688806209,7.96E-07
0.690346014,-7.96E-07
0.691888112,7.96E-07
0.693432505,-7.96E-07
0.694979195,7.96E-07
0.696528183,-7.96E-07
0.698079471,7.96E-07
0.69963306,-7.96E-07
0.701188953,7.96E-07
0.70274715,-7.95E-07
0.704307655,7.95E-07
0.705870467,-7.95E-07
0.70743559,7.95E-07
0.709003025,-7.95E-07
0.710572774,7.95E-07
0.712144837,-7.95E-07
0.713719218,7.95E-07
0.715295917,-7.95E-07
0.716874937,7.95E-07
0.718456279,-7.95E-07
0.720039944,7.95E-07
0.721625935,-7.95E-07
0.723214254,7.94E-07
0.724804901,-7.94E-07
0.726397879,7.94E-07
0.727993189,-7.94E-07
0.729590833,7.94E-07
0.731190813,-7.94E-07
0.73279313,7.94E-07
0.734397787,-7.94E-07
0.736004784,7.94E-07
0.737614124,-7.94E-07
0.739225808,7.94E-07
0.740839838,-7.94E-07
0.742456216,7.94E-07
0.744074943,-7.93E-07
0.745696022,7.93E-07
0.747319453,-7.93E-07
0.748945238,7.93E-07
0.75057338,-7.93E-07
0.75220388,7.93E-07
0.753836739,-7.93E-07
0.75547196,7.93E-07
0.757109544,-7.93E-07
0.758749492,7.93E-07
0.760391807,-7.93E-07
0.76203649,7.93E-07
0.763683543,-7.93E-07
0.765332967,7.92E-07
0.766984765,-7.92E-07
0.768638938,7.92E-07
0.770295487,-7.92E-07
0.771954415,7.92E-07
0.773615723,-7.92E-07
0.775279413,7.92E-07
0.776945486,-7.92E-07
0.778613945,7.92E-07
0.78028479,-7.92E-07
0.781958024,7.92E-07
0.783633648,-7.92E-07
0.785311665,7.92E-07
0.786992075,-7.91E-07
0.78867488,7.91E-07
0.790360083,-7.91E-07
0.792047685,7.91E-07
0.793737687,-7.91E-07
0.795430091,7.91E-07
0.7971249,-7.91E-07
0.798822114,7.91E-07
0.800521735,-7.91E-07
0.802223766,7.91E-07
0.803928207,-7.91E-07
0.805635061,7.91E-07
0.80734433,-7.91E-07
0.809056014,7.91E-07
0.810770115,-7.90E-07
0.812486636,7.90E-07
0.814205579,-7.90E-07
0.815926943,7.90E-07
0.817650733,-7.90E-07
0.819376948,7.90E-07
0.821105592,-7.90E-07
0.822836665,7.90E-07
0.824570169,-7.90E-07
0.826306106,7.90E-07
0.828044478,-7.90E-07
0.829785286,7.90E-07
0.831528533,-7.90E-07
0.833274219,7.90E-07
0.835022346,-7.90E-07
0.836772917,7.89E-07
0.838525933,-7.89E-07
0.840281396,7.89E-07
0.842039307,-7.89E-07
0.843799668,7.89E-07
0.84556248,-7.89E-07
0.847327746,7.89E-07
0.849095468,-7.89E-07
0.850865646,7.89E-07
0.852638283,-7.89E-07
0.85441338,7.89E-07
0.856190939,-7.89E-07
0.857970962,7.89E-07
0.85975345,-7.89E-07
0.861538405,7.88E-07
0.863325829,-7.88E-07
0.865115724,7.88E-07
0.86690809,-7.88E-07
0.868702931,7.88E-07
0.870500248,-7.88E-07
0.872300041,7.88E-07
0.874102314,-7.88E-07
0.875907068,7.88E-07
0.877714304,-7.88E-07
0.879524024,7.88E-07
0.88133623,-7.88E-07
0.883150924,7.88E-07
0.884968107,-7.88E-07
0.886787781,7.88E-07
0.888609947,-7.87E-07
0.890434608,7.87E-07
0.892261766,-7.87E-07
0.894091421,7.87E-07
0.895923575,-7.87E-07
0.897758231,7.87E-07
0.89959539,-7.87E-07
0.901435053,7.87E-07
0.903277223,-7.87E-07
0.905121901,7.87E-07
0.906969088,-7.87E-07
0.908818787,7.87E-07
0.910670999,-7.87E-07
0.912525727,7.87E-07
0.91438297,-7.87E-07
0.916242732,7.86E-07
0.918105014,-7.86E-07
0.919969818,7.86E-07
0.921837145,-7.86E-07
0.923706997,7.86E-07
0.925579376,-7.86E-07
0.927454284,7.86E-07
0.929331722,-7.86E-07
0.931211691,7.86E-07
0.933094195,-7.86E-07
0.934979234,7.86E-07
0.936866809,-7.86E-07
0.938756924,7.86E-07
0.940649579,-7.86E-07
0.942544776,7.86E-07
0.944442518,-7.85E-07
0.946342804,7.85E-07
0.948245638,-7.85E-07
0.950151021,7.85E-07
0.952058955,-7.85E-07
0.953969441,7.85E-07
0.955882482,-7.85E-07
0.957798078,7.85E-07
0.959716232,-7.85E-07
0.961636944,7.85E-07
0.963560218,-7.85E-07
0.965486055,7.85E-07
0.967414456,-7.85E-07
0.969345423,7.85E-07
0.971278958,-7.85E-07
0.973215062,7.85E-07
0.975153737,-7.84E-07
0.977094986,7.84E-07
0.979038808,-7.84E-07
0.980985208,7.84E-07
0.982934185,-7.84E-07
0.984885742,7.84E-07
0.98683988,-7.84E-07
0.988796602,7.84E-07
0.990755908,-7.84E-07
0.992717801,7.84E-07
0.994682282,-7.84E-07
0.996649353,7.84E-07
0.998619016,-7.84E-07
1,7.84E-07
1.000000001,4.26E-06
1.000001,1.26E-04
1.000001001,1.23E-04
1.001970799,2.23E-09
1.002311353,4.05E-10
1.002615866,4.04E-10
1.00322489,4.05E-10
1.00444294,4.04E-10
1.006133794,4.05E-10
1.008084278,4.04E-10
1.010060914,4.05E-10
1.012040132,4.04E-10
1.014021934,4.05E-10
1.016006321,4.04E-10
1.017993296,4.05E-10
1.019982859,4.04E-10
1.021975013,4.05E-10
1.023969759,4.04E-10
1.0259671,4.05E-10
1.027967035,4.04E-10
1.029969569,4.05E-10
1.031974701,4.04E-10
1.033982434,4.05E-10
1.035992769,4.04E-10
1.038005708,4.05E-10
1.040021253,4.04E-10
1.042039406,4.05E-10
1.044060167,4.04E-10
1.04608354,4.05E-10
1.048109525,4.04E-10
1.050138124,4.05E-10
1.052169339,4.04E-10
1.054203171,4.05E-10
1.056239623,4.04E-10
1.058278696,4.05E-10
1.060320391,4.04E-10
1.06236471,4.05E-10
1.064411656,4.04E-10
1.066461229,4.05E-10
1.068513432,4.04E-10
1.070568265,4.05E-10
1.072625731,4.04E-10
1.074685832,4.05E-10
1.076748569,4.04E-10
1.078813943,4.05E-10
1.080881957,4.04E-10
1.082952612,4.05E-10
1.08502591,4.04E-10
1.087101853,4.05E-10
1.089180441,4.04E-10
1.091261678,4.05E-10
1.093345564,4.04E-10
1.095432101,4.05E-10
1.097521291,4.04E-10
1.099613136,4.05E-10
1.101707637,4.04E-10
1.103804797,4.05E-10
1.105904616,4.04E-10
1.108007096,4.05E-10
1.110112239,4.04E-10
1.112220047,4.05E-10
1.114330522,4.04E-10
1.116443664,4.05E-10
1.118559477,4.04E-10
1.12067796,4.05E-10
1.122799118,4.04E-10
1.124922949,4.05E-10
1.127049458,4.04E-10
1.129178644,4.05E-10
1.131310511,4.04E-10
1.133445059,4.05E-10
1.135582291,4.04E-10
1.137722207,4.05E-10
1.13986481,4.04E-10
1.142010101,4.05E-10
1.144158083,4.04E-10
1.146308756,4.05E-10
1.148462122,4.04E-10
1.150618184,4.05E-10
1.152776942,4.04E-10
1.154938399,4.05E-10
1.157102556,4.04E-10
1.159269414,4.05E-10
1.161438977,4.04E-10
1.163611244,4.05E-10
1.165786218,4.04E-10
1.167963901,4.05E-10
1.170144294,4.04E-10
1.172327399,4.05E-10
1.174513218,4.04E-10
1.176701752,4.05E-10
1.178893003,4.04E-10
1.181086973,4.05E-10
1.183283662,4.04E-10
1.185483075,4.05E-10
1.18768521,4.04E-10
1.189890071,4.05E-10
1.19209766,4.04E-10
1.194307977,4.05E-10
1.196521024,4.04E-10
1.198736804,4.05E-10
1.200955317,4.04E-10
1.203176566,4.05E-10
1.205400553,4.04E-10
1.207627278,4.05E-10
1.209856744,4.04E-10
1.212088952,4.05E-10
1.214323904,4.04E-10
1.216561601,4.05E-10
1.218802046,4.04E-10
1.22104524,4.05E-10
1.223291185,4.04E-10
1.225539882,4.05E-10
1.227791333,4.04E-10
1.23004554,4.05E-10
1.232302504,4.04E-10
1.234562227,4.05E-10
1.236824712,4.04E-10
1.239089958,4.05E-10
1.241357969,4.04E-10
1.243628746,4.05E-10
1.24590229,4.04E-10
1.248178604,4.05E-10
1.250457688,4.04E-10
1.252739546,4.05E-10
1.255024177,4.04E-10
1.257311584,4.05E-10
1.259601769,4.04E-10
1.261894734,4.05E-10
1.264190479,4.04E-10
1.266489007,4.05E-10
1.26879032,4.04E-10
1.271094418,4.05E-10
1.273401305,4.04E-10
1.275710981,4.05E-10
1.278023448,4.04E-10
1.280338708,4.05E-10
1.282656762,4.04E-10
1.284977613,4.05E-10
1.287301261,4.04E-10
1.289627709,4.05E-10
1.291956959,4.04E-10
1.294289011,4.05E-10
1.296623868,4.04E-10
1.298961531,4.05E-10
1.301302002,4.04E-10
1.303645283,4.05E-10
1.305991375,4.04E-10
1.308340281,4.05E-10
1.310692001,4.04E-10
1.313046537,4.05E-10
1.315403892,4.04E-10
1.317764066,4.05E-10
1.320127062,4.04E-10
1.322492882,4.05E-10
1.324861525,4.04E-10
1.327232996,4.05E-10
1.329607295,4.04E-10
1.331984423,4.05E-10
1.334364384,4.04E-10
1.336747177,4.05E-10
1.339132806,4.04E-10
1.341521271,4.05E-10
1.343912574,4.04E-10
1.346306718,4.05E-10
1.348703703,4.04E-10
1.351103532,4.05E-10
1.353506206,4.04E-10
1.355911726,4.05E-10
1.358320095,4.04E-10
1.360731314,4.05E-10
1.363145385,4.04E-10
1.36556231,4.05E-10
1.367982089,4.04E-10
1.370404726,4.05E-10
1.372830221,4.04E-10
1.375258576,4.05E-10
1.377689793,4.04E-10
1.380123874,4.05E-10
1.382560821,4.04E-10
1.385000634,4.05E-10
1.387443316,4.04E-10
1.389888868,4.05E-10
1.392337292,4.04E-10
1.39478859,4.05E-10
1.397242764,4.04E-10
1.399699814,4.05E-10
1.402159744,4.04E-10
1.404622554,4.05E-10
1.407088246,4.04E-10
1.409556821,4.05E-10
1.412028283,4.04E-10
1.414502631,4.05E-10
1.416979869,4.04E-10
1.419459997,4.05E-10
1.421943018,4.04E-10
1.424428932,4.05E-10
1.426917742,4.04E-10
1.429409449,4.05E-10
1.431904056,4.04E-10
1.434401563,4.05E-10
1.436901972,4.04E-10
1.439405286,4.05E-10
1.441911505,4.04E-10
1.444420632,4.05E-10
1.446932668,4.04E-10
1.449447614,4.05E-10
1.451965474,4.04E-10
1.454486247,4.05E-10
1.457009936,4.04E-10
1.459536543,4.05E-10
1.462066069,4.04E-10
1.464598516,4.05E-10
1.467133886,4.04E-10
1.46967218,4.05E-10
1.4722134,4.04E-10
1.474757547,4.05E-10
1.477304624,4.04E-10
1.479854632,4.05E-10
1.482407573,4.04E-10
1.484963448,4.05E-10
1.487522259,4.04E-10
1.490084008,4.05E-10
1.492648697,4.04E-10
1.495216326,4.05E-10
1.497786899,4.04E-10
1.500001,4.05E-10
1.500001001,-3.48E-06
1.500002001,-1.25E-04
1.500002002,-1.22E-04
1.500002039,-6.16E-05
1.500002095,-2.51E-05
1.500002207,4.59E-06
1.500002431,-2.23E-06
1.50000274,1.34E-06
1.500003358,-1.04E-06
1.500004594,9.16E-07
1.500007067,-8.60E-07
1.500012011,8.34E-07
1.5000219,-8.21E-07
1.500041677,8.15E-07
1.500081233,-8.11E-07
1.500160343,8.10E-07
1.500318565,-8.09E-07
1.500635007,8.09E-07
1.501267892,-8.08E-07
1.502533662,8.08E-07
1.505065202,-8.08E-07
1.507619046,8.08E-07
1.510175777,-8.08E-07
1.512735397,8.08E-07
1.515297907,-8.08E-07
1.51786331,8.08E-07
1.520431607,-8.08E-07
1.523002799,8.08E-07
1.525576888,-8.08E-07
1.528153876,8.08E-07
1.530733764,-8.08E-07
1.533316555,8.08E-07
1.535902249,-8.08E-07
1.538490848,8.08E-07
1.541082354,-8.08E-07
1.543676769,8.07E-07
1.546274094,-8.07E-07
1.548874331,8.07E-07
1.551477481,-8.07E-07
1.554083546,8.07E-07
1.556692528,-8.07E-07
1.559304428,8.07E-07
1.561919248,-8.07E-07
1.56453699,8.07E-07
1.567157655,-8.07E-07
1.569781245,8.07E-07
1.572407761,-8.07E-07
1.575037206,8.07E-07
1.57766958,-8.07E-07
1.580304885,8.07E-07
1.582943124,-8.07E-07
1.585584297,8.07E-07
1.588228406,-8.07E-07
1.590875454,8.07E-07
1.593525441,-8.07E-07
1.596178369,8.07E-07
1.59883424,-8.06E-07
1.601493055,8.06E-07
1.604154816,-8.06E-07
1.606819525,8.06E-07
1.609487183,-8.06E-07
1.612157793,8.06E-07
1.614831354,-8.06E-07
1.617507871,8.06E-07
1.620187342,-8.06E-07
1.622869772,8.06E-07
1.62555516,-8.06E-07
1.62824351,8.06E-07
1.630934821,-8.06E-07
1.633629097,8.06E-07
1.636326338,-8.06E-07
1.639026546,8.06E-07
1.641729724,-8.06E-07
1.644435872,8.06E-07
1.647144992,-8.06E-07
1.649857086,8.06E-07
1.652572155,-8.06E-07
1.655290201,8.06E-07
1.658011226,-8.05E-07
1.660735231,8.05E-07
1.663462219,-8.05E-07
1.666192189,8.05E-07
1.668925145,-8.05E-07
1.671661088,8.05E-07
1.67440002,-8.05E-07
1.677141941,8.05E-07
1.679886854,-8.05E-07
1.682634761,8.05E-07
1.685385662,-8.05E-07
1.68813956,8.05E-07
1.690896457,-8.05E-07
1.693656353,8.05E-07
1.696419251,-8.05E-07
1.699185152,8.05E-07
1.701954058,-8.05E-07
1.70472597,8.05E-07
1.70750089,-8.05E-07
1.71027882,8.05E-07
1.713059761,-8.05E-07
1.715843715,8.05E-07
1.718630684,-8.04E-07
1.721420669,8.04E-07
1.724213671,-8.04E-07
1.727009694,8.04E-07
1.729808737,-8.04E-07
1.732610803,8.04E-07
1.735415893,-8.04E-07
1.738224009,8.04E-07
1.741035153,-8.04E-07
1.743849327,8.04E-07
1.746666531,-8.04E-07
1.749486767,8.04E-07
1.752310038,-8.04E-07
1.755136345,8.04E-07
1.757965688,-8.04E-07
1.760798071,8.04E-07
1.763633495,-8.04E-07
1.766471961,8.04E-07
1.769313471,-8.04E-07
1.772158026,8.04E-07
1.775005629,-8.04E-07
1.77785628,8.04E-07
1.780709982,-8.04E-07
1.783566736,8.03E-07
1.786426544,-8.03E-07
1.789289407,8.03E-07
1.792155327,-8.03E-07
1.795024306,8.03E-07
1.797896344,-8.03E-07
1.800771445,8.03E-07
1.80364961,-8.03E-07
1.806530839,8.03E-07
1.809415135,-8.03E-07
1.8123025,8.03E-07
1.815192934,-8.03E-07
1.818086441,8.03E-07
1.82098302,-8.03E-07
1.823882675,8.03E-07
1.826785406,-8.03E-07
1.829691215,8.03E-07
1.832600104,-8.03E-07
1.835512074,8.03E-07
1.838427128,-8.03E-07
1.841345266,8.03E-07
1.844266491,-8.03E-07
1.847190804,8.03E-07
1.850118206,-8.02E-07
1.853048699,8.02E-07
1.855982286,-8.02E-07
1.858918966,8.02E-07
1.861858743,-8.02E-07
1.864801618,8.02E-07
1.867747592,-8.02E-07
1.870696667,8.02E-07
1.873648845,-8.02E-07
1.876604127,8.02E-07
1.879562515,-8.02E-07
1.882524011,8.02E-07
1.885488616,-8.02E-07
1.888456331,8.02E-07
1.891427159,-8.02E-07
1.894401101,8.02E-07
1.897378159,-8.02E-07
1.900358334,8.02E-07
1.903341628,-8.02E-07
1.906328043,8.02E-07
1.90931758,-8.02E-07
1.912310241,8.02E-07
1.915306027,-8.02E-07
1.91830494,8.02E-07
1.921306982,-8.01E-07
1.924312155,8.01E-07
1.92732046,-8.01E-07
1.930331898,8.01E-07
1.933346471,-8.01E-07
1.936364182,8.01E-07
1.939385031,-8.01E-07
1.94240902,8.01E-07
1.945436151,-8.01E-07
1.948466425,8.01E-07
1.951499845,-8.01E-07
1.954536411,8.01E-07
1.957576125,-8.01E-07
1.96061899,8.01E-07
1.963665006,-8.01E-07
1.966714175,8.01E-07
1.969766499,-8.01E-07
1.97282198,8.01E-07
1.975880618,-8.01E-07
1.978942417,8.01E-07
1.982007377,-8.01E-07
1.9850755,8.01E-07
1.988146787,-8.01E-07
1.991221241,8.01E-07
1.994298863,-8.00E-07
1.997379654,8.00E-07
2,-8.00E-07
2.000000001,2.71E-06
2.000001,1.26E-04
2.000001001,1.23E-04
2.003082667,1.57E-09
2.003555322,4.05E-10
2.003955917,4.04E-10
2.004757107,4.05E-10
2.006359487,4.04E-10
2.008583765,4.05E-10
2.011099312,4.04E-10
2.014044868,4.05E-10
2.017135474,4.04E-10
2.02022924,4.05E-10
2.023326167,4.04E-10
2.026426259,4.05E-10
2.029529515,4.04E-10
2.032635937,4.05E-10
2.035745528,4.04E-10
2.038858289,4.05E-10
2.041974221,4.04E-10
2.045093326,4.05E-10
2.048215606,4.04E-10
2.051341063,4.05E-10
2.054469697,4.04E-10
2.05760151,4.05E-10
2.060736505,4.04E-10
2.063874682,4.05E-10
2.067016044,4.04E-10
2.070160592,4.05E-10
2.073308327,4.04E-10
2.076459252,4.05E-10
2.079613367,4.04E-10
2.082770675,4.05E-10
2.085931176,4.04E-10
2.089094874,4.05E-10
2.092261769,4.04E-10
2.095431862,4.05E-10
2.098605156,4.04E-10
2.101781652,4.05E-10
2.104961352,4.04E-10
2.108144258,4.05E-10
2.11133037,4.04E-10
2.114519691,4.05E-10
2.117712222,4.04E-10
2.120907964,4.05E-10
2.124106921,4.04E-10
2.127309092,4.05E-10
2.13051448,4.04E-10
2.133723086,4.05E-10
2.136934912,4.04E-10
2.140149959,4.05E-10
2.14336823,4.04E-10
2.146589725,4.05E-10
2.149814447,4.04E-10
2.153042397,4.05E-10
2.156273576,4.04E-10
2.159507986,4.05E-10
2.162745629,4.04E-10
2.165986507,4.05E-10
2.169230621,4.04E-10
2.172477972,4.05E-10
2.175728562,4.04E-10
2.178982394,4.05E-10
2.182239467,4.04E-10
2.185499785,4.05E-10
2.188763349,4.04E-10
2.19203016,4.05E-10
2.19530022,4.04E-10
2.19857353,4.05E-10
2.201850093,4.04E-10
2.205129909,4.05E-10
2.208412981,4.04E-10
2.21169931,4.05E-10
2.214988898,4.04E-10
2.218281745,4.05E-10
2.221577855,4.04E-10
2.224877228,4.05E-10
2.228179866,4.04E-10
2.231485771,4.05E-10
2.234794944,4.04E-10
2.238107387,4.05E-10
2.241423102,4.04E-10
2.24474209,4.05E-10
2.248064352,4.04E-10
2.251389891,4.05E-10
2.254718708,4.04E-10
2.258050805,4.05E-10
2.261386183,4.04E-10
2.264724843,4.05E-10
2.268066789,4.04E-10
2.27141202,4.05E-10
2.274760539,4.04E-10
2.278112347,4.05E-10
2.281467446,4.04E-10
2.284825838,4.05E-10
2.288187524,4.04E-10
2.291552505,4.05E-10
2.294920784,4.04E-10
2.298292363,4.05E-10
2.301667241,4.04E-10
2.305045422,4.05E-10
2.308426907,4.04E-10
2.311811697,4.05E-10
2.315199794,4.04E-10
2.3185912,4.05E-10
2.321985916,4.04E-10
2.325383945,4.05E-10
2.328785286,4.04E-10
2.332189943,4.05E-10
2.335597917,4.04E-10
2.339009209,4.05E-10
2.342423821,4.04E-10
2.345841754,4.05E-10
2.349263011,4.04E-10
2.352687593,4.05E-10
2.356115501,4.04E-10
2.359546737,4.05E-10
2.362981303,4.04E-10
2.3664192,4.05E-10
2.36986043,4.04E-10
2.373304995,4.05E-10
2.376752895,4.04E-10
2.380204134,4.05E-10
2.383658712,4.04E-10
2.387116631,4.05E-10
2.390577892,4.04E-10
2.394042498,4.05E-10
