Voltage(V),Current(A)
-3.282593385,-0.030477099
-3.282592928,-0.030476354
-3.282592466,-0.030475602
-3.282592,-0.030474843
-3.28259153,-0.030474078
-3.282591056,-0.030473306
-3.282590578,-0.030472528
-3.282590096,-0.030471743
-3.28258961,-0.030470951
-3.28258912,-0.030470152
-3.282588625,-0.030469347
-3.282588126,-0.030468535
-3.282587623,-0.030467716
-3.282587116,-0.03046689
-3.282586605,-0.030466057
-3.282586089,-0.030465217
-3.282585569,-0.030464371
-3.282585045,-0.030463517
-3.282584516,-0.030462657
-3.282583984,-0.030461789
-3.282583446,-0.030460914
-3.282582905,-0.030460033
-3.282582359,-0.030459144
-3.282581808,-0.030458248
-3.282581254,-0.030457345
-3.282580694,-0.030456434
-3.282580131,-0.030455517
-3.282579562,-0.030454592
-3.28257899,-0.03045366
-3.282578413,-0.030452721
-3.282577831,-0.030451774
-3.282577245,-0.03045082
-3.282576654,-0.030449858
-3.282576059,-0.030448889
-3.282575459,-0.030447913
-3.282574854,-0.030446929
-3.282574245,-0.030445938
-3.282573631,-0.030444939
-3.282573012,-0.030443932
-3.282572389,-0.030442918
-3.282571761,-0.030441897
-3.282571128,-0.030440867
-3.282570491,-0.03043983
-3.282569849,-0.030438785
-3.282569202,-0.030437733
-3.28256855,-0.030436673
-3.282567894,-0.030435605
-3.282567232,-0.030434529
-3.282566566,-0.030433445
-3.282565895,-0.030432353
-3.282565219,-0.030431254
-3.282564538,-0.030430147
-3.282563852,-0.030429031
-3.282563161,-0.030427908
-3.282562465,-0.030426776
-3.282561765,-0.030425637
-3.282561059,-0.030424489
-3.282560348,-0.030423333
-3.282559633,-0.03042217
-3.282558912,-0.030420998
-3.282558186,-0.030419818
-3.282557455,-0.030418629
-3.282556719,-0.030417432
-3.282555978,-0.030416227
-3.282555231,-0.030415014
-3.28255448,-0.030413793
-3.282553723,-0.030412563
-3.282552961,-0.030411324
-3.282552194,-0.030410078
-3.282551422,-0.030408822
-3.282550644,-0.030407559
-3.282549861,-0.030406286
-3.282549073,-0.030405006
-3.28254828,-0.030403716
-3.282547481,-0.030402418
-3.282546677,-0.030401112
-3.282545867,-0.030399797
-3.282545053,-0.030398473
-3.282544232,-0.03039714
-3.282543407,-0.030395799
-3.282542576,-0.030394449
-3.282541739,-0.03039309
-3.282540897,-0.030391722
-3.28254005,-0.030390346
-3.282539197,-0.03038896
-3.282538338,-0.030387566
-3.282537474,-0.030386163
-3.282536604,-0.03038475
-3.282535729,-0.030383329
-3.282534848,-0.030381899
-3.282533962,-0.030380459
-3.28253307,-0.030379011
-3.282532172,-0.030377553
-3.282531269,-0.030376087
-3.28253036,-0.030374611
-3.282529445,-0.030373126
-3.282528525,-0.030371632
-3.282527598,-0.030370128
-3.282526666,-0.030368615
-3.282525729,-0.030367093
-3.282524785,-0.030365562
-3.282523836,-0.030364021
-3.28252288,-0.030362471
-3.282521919,-0.030360911
-3.282520952,-0.030359342
-3.282519979,-0.030357764
-3.282519001,-0.030356176
-3.282518016,-0.030354578
-3.282517025,-0.030352971
-3.282516029,-0.030351354
-3.282515026,-0.030349728
-3.282514017,-0.030348092
-3.282513003,-0.030346446
-3.282511982,-0.030344791
-3.282510955,-0.030343126
-3.282509922,-0.030341451
-3.282508883,-0.030339766
-3.282507838,-0.030338071
-3.282506787,-0.030336367
-3.28250573,-0.030334653
-3.282504666,-0.030332929
-3.282503597,-0.030331195
-3.282502521,-0.03032945
-3.282501439,-0.030327696
-3.28250035,-0.030325932
-3.282499256,-0.030324158
-3.282498155,-0.030322374
-3.282497048,-0.03032058
-3.282495934,-0.030318775
-3.282494814,-0.03031696
-3.282493688,-0.030315136
-3.282492555,-0.030313301
-3.282491416,-0.030311455
-3.282490271,-0.0303096
-3.282489119,-0.030307734
-3.282487961,-0.030305858
-3.282486796,-0.030303971
-3.282485625,-0.030302074
-3.282484447,-0.030300167
-3.282483262,-0.030298249
-3.282482072,-0.03029632
-3.282480874,-0.030294382
-3.28247967,-0.030292432
-3.28247846,-0.030290472
-3.282477242,-0.030288502
-3.282476018,-0.03028652
-3.282474788,-0.030284529
-3.282473551,-0.030282526
-3.282472307,-0.030280513
-3.282471056,-0.030278489
-3.282469799,-0.030276454
-3.282468535,-0.030274409
-3.282467264,-0.030272352
-3.282465986,-0.030270285
-3.282464701,-0.030268207
-3.28246341,-0.030266118
-3.282462112,-0.030264018
-3.282460807,-0.030261907
-3.282459495,-0.030259786
-3.282458176,-0.030257653
-3.28245685,-0.030255509
-3.282455517,-0.030253354
-3.282454178,-0.030251188
-3.282452831,-0.03024901
-3.282451477,-0.030246822
-3.282450117,-0.030244622
-3.282448749,-0.030242412
-3.282447374,-0.030240189
-3.282445992,-0.030237956
-3.282444603,-0.030235711
-3.282443207,-0.030233455
-3.282441804,-0.030231188
-3.282440393,-0.030228909
-3.282438976,-0.030226619
-3.282437551,-0.030224317
-3.282436119,-0.030222004
-3.28243468,-0.03021968
-3.282433233,-0.030217343
-3.28243178,-0.030214996
-3.282430319,-0.030212636
-3.28242885,-0.030210265
-3.282427375,-0.030207883
-3.282425891,-0.030205489
-3.282424401,-0.030203083
-3.282422903,-0.030200665
-3.282421398,-0.030198235
-3.282419885,-0.030195794
-3.282418365,-0.030193341
-3.282416838,-0.030190876
-3.282415303,-0.030188399
-3.28241376,-0.030185911
-3.28241221,-0.03018341
-3.282410652,-0.030180897
-3.282409087,-0.030178373
-3.282407515,-0.030175836
-3.282405934,-0.030173287
-3.282404346,-0.030170726
-3.28240275,-0.030168154
-3.282401147,-0.030165569
-3.282399536,-0.030162971
-3.282397918,-0.030160362
-3.282396291,-0.03015774
-3.282394657,-0.030155107
-3.282393015,-0.03015246
-3.282391365,-0.030149802
-3.282389708,-0.030147131
-3.282388042,-0.030144448
-3.282386369,-0.030141753
-3.282384688,-0.030139045
-3.282382999,-0.030136324
-3.282381303,-0.030133591
-3.282379598,-0.030130846
-3.282377885,-0.030128088
-3.282376165,-0.030125318
-3.282374436,-0.030122535
-3.282372699,-0.030119739
-3.282370955,-0.03011693
-3.282369202,-0.030114109
-3.282367441,-0.030111276
-3.282365673,-0.030108429
-3.282363896,-0.03010557
-3.282362111,-0.030102698
-3.282360317,-0.030099813
-3.282358516,-0.030096916
-3.282356707,-0.030094005
-3.282354889,-0.030091081
-3.282353063,-0.030088145
-3.282351229,-0.030085196
-3.282349386,-0.030082233
-3.282347536,-0.030079258
-3.282345677,-0.03007627
-3.282343809,-0.030073268
-3.282341934,-0.030070253
-3.28234005,-0.030067226
-3.282338157,-0.030064185
-3.282336256,-0.030061131
-3.282334347,-0.030058063
-3.28233243,-0.030054983
-3.282330503,-0.030051889
-3.282328569,-0.030048782
-3.282326626,-0.030045661
-3.282324674,-0.030042527
-3.282322714,-0.03003938
-3.282320745,-0.030036219
-3.282318768,-0.030033045
-3.282316782,-0.030029858
-3.282314787,-0.030026657
-3.282312784,-0.030023442
-3.282310772,-0.030020214
-3.282308751,-0.030016972
-3.282306722,-0.030013717
-3.282304684,-0.030010448
-3.282302637,-0.030007165
-3.282300582,-0.030003868
-3.282298517,-0.030000558
-3.282296444,-0.029997234
-3.282294362,-0.029993897
-3.282292272,-0.029990545
-3.282290172,-0.02998718
-3.282288063,-0.0299838
-3.282285946,-0.029980407
-3.282283819,-0.029977
-3.282281684,-0.029973579
-3.282279539,-0.029970144
-3.282277386,-0.029966695
-3.282275224,-0.029963232
-3.282273052,-0.029959755
-3.282270872,-0.029956263
-3.282268682,-0.029952758
-3.282266483,-0.029949238
-3.282264276,-0.029945704
-3.282262059,-0.029942156
-3.282259832,-0.029938594
-3.282257597,-0.029935018
-3.282255353,-0.029931427
-3.282253099,-0.029927821
-3.282250836,-0.029924202
-3.282248563,-0.029920568
-3.282246282,-0.02991692
-3.282243991,-0.029913257
-3.282241691,-0.02990958
-3.282239381,-0.029905888
-3.282237062,-0.029902181
-3.282234734,-0.029898461
-3.282232396,-0.029894725
-3.282230049,-0.029890975
-3.282227692,-0.02988721
-3.282225326,-0.029883431
-3.28222295,-0.029879637
-3.282220565,-0.029875828
-3.28221817,-0.029872004
-3.282215766,-0.029868166
-3.282213352,-0.029864313
-3.282210928,-0.029860445
-3.282208495,-0.029856562
-3.282206052,-0.029852664
-3.2822036,-0.029848751
-3.282201138,-0.029844823
-3.282198666,-0.029840881
-3.282196184,-0.029836923
-3.282193692,-0.02983295
-3.282191191,-0.029828962
-3.28218868,-0.029824959
-3.282186159,-0.029820941
-3.282183628,-0.029816908
-3.282181088,-0.029812859
-3.282178537,-0.029808796
-3.282175977,-0.029804717
-3.282173407,-0.029800623
-3.282170826,-0.029796513
-3.282168236,-0.029792388
-3.282165635,-0.029788248
-3.282163025,-0.029784092
-3.282160405,-0.029779921
-3.282157774,-0.029775735
-3.282155134,-0.029771533
-3.282152483,-0.029767316
-3.282149822,-0.029763083
-3.282147151,-0.029758834
-3.28214447,-0.02975457
-3.282141779,-0.02975029
-3.282139077,-0.029745995
-3.282136365,-0.029741684
-3.282133643,-0.029737357
-3.28213091,-0.029733015
-3.282128168,-0.029728656
-3.282125415,-0.029724282
-3.282122651,-0.029719893
-3.282119877,-0.029715487
-3.282117093,-0.029711065
-3.282114298,-0.029706628
-3.282111493,-0.029702174
-3.282108678,-0.029697705
-3.282105851,-0.02969322
-3.282103015,-0.029688718
-3.282100168,-0.029684201
-3.28209731,-0.029679667
-3.282094442,-0.029675118
-3.282091563,-0.029670552
-3.282088673,-0.02966597
-3.282085773,-0.029661372
-3.282082862,-0.029656758
-3.28207994,-0.029652127
-3.282077008,-0.029647481
-3.282074065,-0.029642817
-3.282071111,-0.029638138
-3.282068146,-0.029633442
-3.282065171,-0.02962873
-3.282062184,-0.029624001
-3.282059187,-0.029619256
-3.282056179,-0.029614495
-3.28205316,-0.029609717
-3.28205013,-0.029604922
-3.282047089,-0.029600111
-3.282044037,-0.029595283
-3.282040974,-0.029590439
-3.282037901,-0.029585578
-3.282034816,-0.0295807
-3.28203172,-0.029575806
-3.282028612,-0.029570895
-3.282025494,-0.029565967
-3.282022365,-0.029561023
-3.282019224,-0.029556061
-3.282016072,-0.029551083
-3.282012909,-0.029546088
-3.282009735,-0.029541076
-3.28200655,-0.029536047
-3.282003353,-0.029531001
-3.282000145,-0.029525938
-3.281996926,-0.029520858
-3.281993695,-0.029515761
-3.281990453,-0.029510647
-3.281987199,-0.029505516
-3.281983934,-0.029500367
-3.281980658,-0.029495202
-3.28197737,-0.029490019
-3.28197407,-0.029484819
-3.281970759,-0.029479602
-3.281967437,-0.029474368
-3.281964103,-0.029469116
-3.281960757,-0.029463847
-3.2819574,-0.029458561
-3.281954031,-0.029453257
-3.28195065,-0.029447936
-3.281947258,-0.029442597
-3.281943854,-0.029437241
-3.281940438,-0.029431868
-3.28193701,-0.029426477
-3.281933571,-0.029421068
-3.28193012,-0.029415642
-3.281926657,-0.029410198
-3.281923182,-0.029404736
-3.281919695,-0.029399257
-3.281916197,-0.02939376
-3.281912686,-0.029388246
-3.281909163,-0.029382713
-3.281905629,-0.029377163
-3.281902082,-0.029371595
-3.281898524,-0.029366009
-3.281894953,-0.029360406
-3.28189137,-0.029354784
-3.281887775,-0.029349144
-3.281884168,-0.029343487
-3.281880549,-0.029337812
-3.281876917,-0.029332118
-3.281873274,-0.029326407
-3.281869618,-0.029320677
-3.28186595,-0.029314929
-3.281862269,-0.029309163
-3.281858577,-0.02930338
-3.281854872,-0.029297577
-3.281851154,-0.029291757
-3.281847424,-0.029285918
-3.281843682,-0.029280062
-3.281839927,-0.029274186
-3.28183616,-0.029268293
-3.28183238,-0.029262381
-3.281828588,-0.029256451
-3.281824783,-0.029250502
-3.281820966,-0.029244535
-3.281817136,-0.029238549
-3.281813294,-0.029232545
-3.281809438,-0.029226523
-3.281805571,-0.029220482
-3.28180169,-0.029214422
-3.281797797,-0.029208343
-3.281793891,-0.029202246
-3.281789972,-0.029196131
-3.28178604,-0.029189996
-3.281782096,-0.029183843
-3.281778138,-0.029177671
-3.281774168,-0.029171481
-3.281770185,-0.029165271
-3.281766189,-0.029159043
-3.28176218,-0.029152796
-3.281758158,-0.02914653
-3.281754123,-0.029140245
-3.281750075,-0.029133941
-3.281746014,-0.029127618
-3.281741939,-0.029121276
-3.281737852,-0.029114915
-3.281733751,-0.029108535
-3.281729638,-0.029102136
-3.281725511,-0.029095718
-3.281721371,-0.02908928
-3.281717217,-0.029082824
-3.281713051,-0.029076348
-3.281708871,-0.029069853
-3.281704677,-0.029063338
-3.28170047,-0.029056805
-3.28169625,-0.029050252
-3.281692017,-0.02904368
-3.28168777,-0.029037088
-3.281683509,-0.029030477
-3.281679236,-0.029023846
-3.281674948,-0.029017196
-3.281670647,-0.029010527
-3.281666332,-0.029003838
-3.281662004,-0.028997129
-3.281657662,-0.028990401
-3.281653307,-0.028983653
-3.281648938,-0.028976886
-3.281644555,-0.028970099
-3.281640158,-0.028963292
-3.281635747,-0.028956465
-3.281631323,-0.028949619
-3.281626885,-0.028942753
-3.281622433,-0.028935867
-3.281617967,-0.028928962
-3.281613487,-0.028922036
-3.281608994,-0.028915091
-3.281604486,-0.028908125
-3.281599964,-0.02890114
-3.281595428,-0.028894135
-3.281590878,-0.028887109
-3.281586315,-0.028880064
-3.281581737,-0.028872998
-3.281577144,-0.028865913
-3.281572538,-0.028858807
-3.281567917,-0.028851681
-3.281563283,-0.028844535
-3.281558634,-0.028837369
-3.28155397,-0.028830183
-3.281549293,-0.028822976
-3.281544601,-0.028815749
-3.281539894,-0.028808502
-3.281535173,-0.028801234
-3.281530438,-0.028793946
-3.281525689,-0.028786638
-3.281520924,-0.028779309
-3.281516146,-0.028771959
-3.281511352,-0.02876459
-3.281506545,-0.028757199
-3.281501722,-0.028749788
-3.281496885,-0.028742357
-3.281492033,-0.028734905
-3.281487167,-0.028727432
-3.281482286,-0.028719938
-3.28147739,-0.028712424
-3.281472479,-0.028704889
-3.281467553,-0.028697334
-3.281462613,-0.028689757
-3.281457658,-0.02868216
-3.281452688,-0.028674542
-3.281447702,-0.028666903
-3.281442702,-0.028659244
-3.281437687,-0.028651563
-3.281432657,-0.028643861
-3.281427612,-0.028636139
-3.281422552,-0.028628395
-3.281417476,-0.02862063
-3.281412386,-0.028612845
-3.28140728,-0.028605038
-3.281402159,-0.02859721
-3.281397023,-0.028589361
-3.281391871,-0.02858149
-3.281386704,-0.028573599
-3.281381522,-0.028565686
-3.281376325,-0.028557752
-3.281371112,-0.028549797
-3.281365884,-0.02854182
-3.28136064,-0.028533822
-3.281355381,-0.028525803
-3.281350106,-0.028517762
-3.281344816,-0.0285097
-3.28133951,-0.028501616
-3.281334188,-0.028493511
-3.281328851,-0.028485385
-3.281323498,-0.028477236
-3.281318129,-0.028469067
-3.281312745,-0.028460875
-3.281307345,-0.028452662
-3.281301929,-0.028444428
-3.281296497,-0.028436171
-3.28129105,-0.028427893
-3.281285586,-0.028419593
