Voltage(V),Current(A)
-9.989633675,-9.99E-07
-9.989490095,-9.99E-07
-9.989345166,-9.99E-07
-9.989198884,-9.99E-07
-9.98905124,-9.99E-07
-9.988902229,-9.99E-07
-9.988751845,-9.99E-07
-9.988600082,-9.99E-07
-9.988446932,-9.99E-07
-9.98829239,-9.99E-07
-9.98813645,-9.99E-07
-9.987979104,-9.99E-07
-9.987820348,-9.99E-07
-9.987660174,-9.99E-07
-9.987498576,-9.99E-07
-9.987335548,-9.99E-07
-9.987171084,-9.99E-07
-9.987005177,-9.99E-07
-9.986837822,-9.99E-07
-9.98666901,-9.99E-07
-9.986498738,-9.99E-07
-9.986326997,-9.99E-07
-9.986153783,-9.99E-07
-9.985979087,-9.99E-07
-9.985802906,-9.99E-07
-9.985625231,-9.99E-07
-9.985446056,-9.99E-07
-9.985265376,-9.99E-07
-9.985083184,-9.99E-07
-9.984899474,-9.98E-07
-9.984714239,-9.98E-07
-9.984527473,-9.98E-07
-9.984339171,-9.98E-07
-9.984149324,-9.98E-07
-9.983957928,-9.98E-07
-9.983764976,-9.98E-07
-9.983570461,-9.98E-07
-9.983374378,-9.98E-07
-9.98317672,-9.98E-07
-9.982977481,-9.98E-07
-9.982776654,-9.98E-07
-9.982574233,-9.98E-07
-9.982370212,-9.98E-07
-9.982164584,-9.98E-07
-9.981957344,-9.98E-07
-9.981748485,-9.98E-07
-9.981538,-9.98E-07
-9.981325884,-9.98E-07
-9.98111213,-9.98E-07
-9.980896731,-9.98E-07
-9.980679682,-9.98E-07
-9.980460976,-9.98E-07
-9.980240607,-9.98E-07
-9.980018568,-9.98E-07
-9.979794854,-9.98E-07
-9.979569457,-9.98E-07
-9.979342372,-9.98E-07
-9.979113593,-9.98E-07
-9.978883113,-9.98E-07
-9.978650925,-9.98E-07
-9.978417024,-9.98E-07
-9.978181403,-9.98E-07
-9.977944055,-9.98E-07
-9.977704975,-9.98E-07
-9.977464157,-9.98E-07
-9.977221593,-9.98E-07
-9.976977278,-9.98E-07
-9.976731206,-9.98E-07
-9.976483369,-9.98E-07
-9.976233763,-9.98E-07
-9.975982379,-9.98E-07
-9.975729213,-9.98E-07
-9.975474258,-9.98E-07
-9.975217507,-9.98E-07
-9.974958954,-9.97E-07
-9.974698593,-9.97E-07
-9.974436418,-9.97E-07
-9.974172423,-9.97E-07
-9.9739066,-9.97E-07
-9.973638944,-9.97E-07
-9.973369449,-9.97E-07
-9.973098107,-9.97E-07
-9.972824914,-9.97E-07
-9.972549862,-9.97E-07
-9.972272945,-9.97E-07
-9.971994157,-9.97E-07
-9.971713492,-9.97E-07
-9.971430944,-9.97E-07
-9.971146505,-9.97E-07
-9.97086017,-9.97E-07
-9.970571932,-9.97E-07
-9.970281786,-9.97E-07
-9.969989724,-9.97E-07
-9.969695741,-9.97E-07
-9.96939983,-9.97E-07
-9.969101986,-9.97E-07
-9.9688022,-9.97E-07
-9.968500468,-9.97E-07
-9.968196784,-9.97E-07
-9.96789114,-9.97E-07
-9.96758353,-9.97E-07
-9.967273948,-9.97E-07
-9.966962389,-9.97E-07
-9.966648845,-9.97E-07
