#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-05-07 15:03:50.389
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 300 mV/div Offset: 0 V
#Channel 2: Range: 300 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0526125,0.25749426473974413,-0.32373879005045719
-0.052599999999999994,0.25914866129856112,-0.33206310537432182
-0.052587499999999995,0.2594795406103243,-0.3337279684390938
-0.052574999999999997,0.2594795406103243,-0.33272905060023017
-0.052562499999999998,0.26146481648090447,-0.34438309205363954
-0.052549999999999999,0.26047217854561433,-0.33872255763341214
-0.052537499999999994,0.26179569579266765,-0.34638092773136608
-0.052524999999999995,0.26146481648090447,-0.3447160646665941
-0.052512499999999997,0.26212657510443116,-0.34704687295727599
-0.052499999999999998,0.26179569579266782,-0.34405011944068503
-0.052487499999999999,0.26278833372795796,-0.35137551692568519
-0.052474999999999994,0.26345009235148448,-0.35503821566818378
-0.052462499999999995,0.2631192130397213,-0.35170848953863976
-0.052449999999999997,0.26378097166324799,-0.3543722704422762
-0.052437499999999998,0.26345009235148464,-0.3543722704422762
-0.052424999999999999,0.26444273028677479,-0.35903388702363997
-0.052412499999999994,0.26576624753382772,-0.36669225712159198
-0.052399999999999995,0.26477360959853813,-0.36069875008841273
-0.052387499999999997,0.26576624753382816,-0.3680241475734129
-0.052374999999999998,0.26543536822206482,-0.36436144883091282
-0.052362499999999999,0.2660971268455915,-0.36935603802523115
-0.052349999999999994,0.26576624753382844,-0.36769117496046
-0.052337499999999995,0.26642800615735496,-0.37135387370295847
-0.052324999999999997,0.26775152340440833,-0.3790122438009132
-0.052312499999999998,0.26742064409264499,-0.37601549028432218
-0.052299999999999999,0.26742064409264499,-0.37668143551023131
-0.052287499999999994,0.26742064409264515,-0.3756825176713689
-0.052274999999999995,0.26775152340440833,-0.37834629857500407
-0.052262499999999996,0.26874416133969847,-0.38367386038227697
-0.052249999999999998,0.26874416133969847,-0.38367386038227697
-0.052237499999999999,0.27006767858675185,-0.39066628525432262
-0.052224999999999994,0.26874416133969875,-0.38400683299523347
-0.052212499999999995,0.26940591996322516,-0.38833547696364074
-0.052199999999999996,0.2703985578985153,-0.39399601138386814
-0.052187499999999998,0.2697367992749885,-0.38966736741545893
-0.052174999999999999,0.2703985578985153,-0.39266412093204994
-0.052162500000000001,0.27139119583380489,-0.39899060057818359
-0.052149999999999995,0.27072943721027865,-0.39532790183568634
-0.052137499999999996,0.27072943721027865,-0.39499492922273183
-0.052124999999999998,0.27139119583380533,-0.40065546364295923
-0.052112499999999999,0.27139119583380533,-0.39965654580409554
-0.0521,0.27205295445733185,-0.40331924454659401
-0.052087499999999995,0.27370735101614885,-0.41497328600000505
-0.052074999999999996,0.27205295445733213,-0.40365221715955019
-0.052062499999999998,0.27271471308085882,-0.40897977896682308
-0.052049999999999999,0.27370735101614885,-0.4123095050963686
-0.0520375,0.27271471308085926,-0.4073149159020526
-0.052024999999999995,0.2740382303279123,-0.41430734077409592
-0.052012499999999996,0.2740382303279123,-0.41597220383886874
-0.051999999999999998,0.27436910963967565,-0.41663814906477781
-0.051987499999999999,0.27436910963967565,-0.41563923122591417
-0.051975,0.27503086826320206,-0.42129976564613902
-0.051962499999999995,0.27436910963967565,-0.41730409429068693
-0.051949999999999996,0.27469998895143899,-0.41863598474250513
-0.051937499999999998,0.27536174757496568,-0.42163273825909614
-0.051924999999999999,0.27503086826320233,-0.41930192996841426
-0.0519125,0.27569262688672874,-0.42429651916273031
-0.051899999999999995,0.27569262688672902,-0.4219657108720507
-0.051887499999999996,0.27536174757496568,-0.42163273825909614
-0.051874999999999998,0.27536174757496568,-0.42129976564614158
-0.051862499999999999,0.2770161441337825,-0.42995705358295999
-0.05185,0.27668526482201933,-0.43128894403477758
-0.051837499999999995,0.27602350619849247,-0.42529543700159622
-0.051824999999999996,0.27668526482201916,-0.43195488926068731
-0.051812499999999997,0.27569262688672902,-0.42363057393682346
-0.051799999999999999,0.27668526482201916,-0.42962408097000543
-0.0517875,0.27668526482201916,-0.42862516313114224
-0.051774999999999995,0.27668526482201916,-0.42929110835705087
-0.051762499999999996,0.27800878206907265,-0.43728245106796021
-0.051749999999999997,0.27767790275730919,-0.43495164277727832
-0.051737499999999999,0.27767790275730919,-0.43694947845500565
-0.051725,0.27800878206907248,-0.43728245106796004
-0.051712499999999995,0.27900142000436268,-0.44627271161773313
-0.051699999999999996,0.27867054069259933,-0.44327595810114218
-0.051687499999999997,0.28032493725141616,-0.45393108171568791
-0.051674999999999999,0.28131757518670619,-0.46392026010432452
-0.0516625,0.28065581656317978,-0.45692783523228203
-0.051649999999999995,0.28164845449846965,-0.46458620533023365
-0.051637499999999996,0.27999405793965282,-0.45326513648977879
-0.051624999999999997,0.28131757518670619,-0.4619224244265972
-0.051612499999999999,0.28164845449846965,-0.46558512316909728
-0.0516,0.28197933381023282,-0.46758295884682372
-0.051587499999999994,0.28297197174552302,-0.47490835633182482
-0.051574999999999996,0.28264109243375968,-0.47091268497637018
-0.051562499999999997,0.28297197174552302,-0.47657321939659758
-0.051549999999999999,0.28297197174552302,-0.47390943849296113
-0.0515375,0.2842954889925759,-0.48456456210750204
-0.051524999999999994,0.28363373036904982,-0.4785710550743249
-0.051512499999999996,0.28429548899257651,-0.48456456210750687
-0.051499999999999997,0.28561900623962999,-0.49422076788318897
