#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-05-09 16:25:00.559
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V
#Channel 2: Range: 100 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
0.39976062499999993,-0.095223081600004131,-0.18955082702977549
0.39976312499999994,-0.094892202288238511,-0.18921785441681865
0.39976562499999996,-0.093568685041180696,-0.18821893657795211
0.39976812499999997,-0.092245167794127239,-0.18755299135204453
0.39977062499999994,-0.091914288482369155,-0.18755299135204453
0.39977312499999995,-0.090921650547076807,-0.18722001873908997
0.39977562499999997,-0.089598133300014926,-0.18688704612613755
0.39977812499999993,-0.088274616052981938,-0.18722001873908695
0.39978062499999995,-0.087612857429444982,-0.18688704612613635
0.39978312499999996,-0.086620219494151884,-0.18622110090022753
0.39978562499999998,-0.086289340182379354,-0.18655407351317044
0.39978812499999994,-0.085296702247105047,-0.18555515567432265
0.39979062499999996,-0.083973185000044831,-0.18522218306136265
0.39979312499999997,-0.08298054706474331,-0.18522218306135493
0.39979562499999993,-0.081326150505952086,-0.1842232652225067
0.39979812499999995,-0.080664391882413464,-0.18422326522249899
0.39980062499999997,-0.0793408746353573,-0.18389029260954262
0.39980312499999993,-0.079009995323599203,-0.18355731999659336
0.39980562499999994,-0.078017357388309269,-0.18255840215772987
0.39980812499999996,-0.077355598764774422,-0.18255840215772623
0.39981062499999998,-0.075701202205956095,-0.18255840215772018
0.39981312499999994,-0.075039443582439622,-0.18189245693182135
0.39981562499999995,-0.074046805647145303,-0.18155948431886257
0.39981812499999997,-0.073385047023607305,-0.18122651170590345
0.39982062499999993,-0.071730650464816817,-0.18056056648000496
0.39982312499999995,-0.070407133217751328,-0.18022759386704509
0.39982562499999996,-0.070076253905979546,-0.17956164864113525
0.39982812499999998,-0.068752736658927893,-0.17956164864113161
0.39983062499999994,-0.068421857347169796,-0.17922867602818235
0.39983312499999996,-0.066767460788350122,-0.1782297581893158
0.39983562499999997,-0.066105702164813762,-0.1775638129634079
0.39983812499999993,-0.064782184917780788,-0.1775638129634079
0.39984062499999995,-0.064120426294245025,-0.1775638129634079
0.39984312499999997,-0.062796909047187363,-0.17656489512454243
0.39984562499999993,-0.062135150423670869,-0.17623192251159303
0.39984812499999994,-0.060811633176615615,-0.17523300467272968
0.39985062499999996,-0.060149874553081968,-0.17490003205977042
0.39985312499999998,-0.059488115929551028,-0.17456705944681372
0.39985562499999994,-0.058826357306034541,-0.17423408683386435
0.39985812499999995,-0.056841081435450296,-0.17356814160795295
0.39986062499999997,-0.056510202123672637,-0.1729021963820393
0.39986312499999993,-0.054524926253124065,-0.17223625115614077
0.39986562499999995,-0.054194046941344151,-0.17123733331727317
0.39986812499999996,-0.053201409006048937,-0.17057138809136074
0.39987062499999992,-0.052208771070774651,-0.17023841547841148
0.39987312499999994,-0.0512161331354778,-0.16957247025250163
0.39987562499999996,-0.049561736576655267,-0.16923949763954224
0.39987812499999997,-0.048899977953124028,-0.16824057980067464
0.39988062499999993,-0.048238219329607833,-0.16757463457477614
0.39988312499999995,-0.046914702082550171,-0.16657571673590807
0.39988562499999997,-0.045922064147255567,-0.16524382628408743
0.39988812499999993,-0.045260305523739074,-0.16491085367113803
0.39989062499999994,-0.044267667588445823,-0.16424490844522785
0.39989312499999996,-0.042944150341387106,-0.1635789632193124
0.39989562499999998,-0.042282391717852558,-0.16224707276749176
0.39989812499999994,-0.041289753782578272,-0.16158112754159323
0.39990062499999995,-0.039966236535517445,-0.15991626447681592
0.39990312499999997,-0.038311839976704544,-0.15925031925090016
0.39990562499999993,-0.038642719288462794,-0.15825140141205196
0.39990812499999995,-0.037319202041414458,-0.15791842879908982
0.39991062499999996,-0.035664805482591926,-0.15592059312135856
0.39991312499999998,-0.035003046859064746,-0.15525464789544141
0.39991562499999994,-0.034672167547306502,-0.15425573005659318
0.39991812499999996,-0.033017770988485323,-0.15325681221771939
0.39992062499999997,-0.031694253741429167,-0.1505930313140775
0.39992312499999993,-0.031032495117912669,-0.14926114086227987
0.39992562499999995,-0.030370736494381732,-0.14759627779749879
0.39992812499999997,-0.029708977870846278,-0.14659735995861953
0.39993062499999993,-0.028385460623813894,-0.14426655166797475
0.39993312499999994,-0.027392822688513879,-0.14326763382909155
0.39993562499999996,-0.02640018475321506,-0.14060385292544389
0.39993812499999998,-0.024745788194393884,-0.13827304463473919
0.39994062499999994,-0.023753150259119594,-0.13527629111819586
0.39994312499999995,-0.023422270947348556,-0.13161359237567488
0.39994562499999997,-0.021767874388531446,-0.12828386624611846
0.39994812499999993,-0.021436995076773196,-0.126286030568422
0.39995062499999995,-0.020113477829718993,-0.12229035921295736
0.39995312499999996,-0.019451719206182189,-0.11929360569633594
0.39995562499999993,-0.017797322647390951,-0.11429901650209484
0.39995812499999994,-0.016804684712087625,-0.10830550946888517
0.39996062499999996,-0.016142926088553226,-0.10197902982270321
0.39996312499999997,-0.014819408841491348,-0.094320659724696679
0.39996562499999994,-0.013495891594458359,-0.086329317013910931
0.39996812499999995,-0.012834132970923208,-0.080002837367723525
0.39997062499999997,-0.012172374347391969,-0.072677439882673361
0.39997312499999993,-0.011510615723875777,-0.065352042397789772
0.39997562499999995,-0.010187098476819317,-0.056694754460924417
0.39997812499999996,-0.0082018226062347769,-0.047038548685169518
