#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 16:08:24.454
#Sample rate: 1.51515e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V
#Math 1: Function: C2*-1

Time (s),Channel 1 (V),Math 1 (V)
0.0050021400000000004,0.0010627981231380247,0.65604545777910228
0.0050028,0.0017245567466647503,0.72863348740319511
0.0050034600000000004,0.0020554360584281129,0.69733406178546697
0.0050041200000000008,0.00139367743490229,0.62408008693543005
0.0050047800000000003,0.0023863153701914755,0.58545526383273683
0.0050054399999999999,0.0020554360584281129,0.67003030752319359
0.0050061000000000003,0.0023863153701914755,0.62141630603182862
0.0050067600000000007,0.0023863153701914755,0.61242604548199753
0.0050074200000000003,0.0023863153701914755,0.54849530379478129
0.0050080799999999998,0.0027171946819548381,0.58878498996228235
0.0050087400000000002,0.0030480739937182007,0.61176010025614658
0.0050094000000000007,0.0040407119290079884,0.61841955251526137
0.0050100600000000002,0.0037098326172449268,0.64439141632569286
0.0050107199999999998,0.0043715912407716519,0.68601299294501217
0.0050113800000000002,0.0043715912407716519,0.68900974646160318
0.0050120400000000006,0.0043715912407716519,0.67369300626569362
0.0050127000000000001,0.0050333498642983771,0.61875252512819223
0.0050133599999999997,0.0053642291760614387,0.7229729529828729
0.0050140200000000001,0.0056951084878251023,0.68235029420251203
0.0050146800000000005,0.0060259877995884649,0.75726913211728675
0.0050153400000000001,0.0063568671113518275,0.73862266579183178
0.0050159999999999996,0.0073495050466410132,0.80521718838268197
0.00501666,0.0070186257348785535,0.68235029420251203
0.0050173200000000005,0.0073495050466419161,0.77691451628160546
0.00501798,0.0066877464231151909,0.77658154366865095
0.0050186399999999996,0.0070186257348782526,0.70499243188348681
0.0050193,0.0083421429819320048,0.80854691451228811
0.0050199600000000004,0.0090039016054587299,0.78024424241115098
0.0050206199999999999,0.0076803843584052796,0.69400433565592146
0.0050212800000000004,0.0076803843584052796,0.59944011357682803
0.0050219400000000008,0.0086730222936965713,0.69000866430059671
0.0050226000000000003,0.0099965395407488177,0.83285391525797059
0.0050232599999999999,0.0099965395407488177,0.84517390193728903
0.0050239200000000003,0.0096656602289854551,0.75194157031001385
0.0050245800000000007,0.010327418852511578,0.65870923868275544
0.0050252400000000003,0.0096656602289854551,0.67702273239523925
0.0050258999999999998,0.0099965395407488177,0.70865513062592189
0.0050265600000000002,0.010658298164275543,0.72596970649955872
0.0050272200000000006,0.010989177476039507,0.73029835046798963
0.0050278800000000002,0.011650936099565631,0.75427237860069574
0.0050285399999999997,0.011981815411328993,0.87780521800683542
0.0050292000000000002,0.011320056787802268,0.68168434897660302
0.0050298600000000006,0.011650936099565631,0.72830051479024061
0.0050305200000000001,0.011981815411328993,0.72696862433842235
