#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 17:18:42.306
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 18 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V
#Channel 2: Range: 200 mV/div Offset: 0 V
#Math 1: Function: C2*-1

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
0.0048935489999999996,-0.0019151156826934192,0.0079019324523569145,-0.0079019324523569145
0.0048935589999999996,-0.00092247774753002388,0.009899768130039269,-0.009899768130039269
0.0048935689999999995,-0.003569512241521969,0.01089868596883343,-0.01089868596883343
0.0048935789999999995,-0.0025768743062377494,0.0095667955171298367,-0.0095667955171298367
0.0048935889999999994,-0.0015842363709535293,0.013229494259551651,-0.013229494259551651
0.0048935989999999993,-0.00059159843567878876,0.013229494259542111,-0.013229494259542111
0.0048936089999999993,-0.00059159843568841865,0.012230576420704947,-0.012230576420704947
0.0048936189999999992,-0.0032386329297796716,0.016892193002041148,-0.016892193002041148
0.0048936289999999992,-0.0032386329297856902,0.019888946518618205,-0.019888946518618205
0.0048936389999999991,-0.0029077536180269923,0.024217590486990917,-0.024217590486990917
0.004893648999999999,-0.001915115682752101,0.026215426164739288,-0.026215426164739288
0.004893658999999999,-0.0015842363709774533,0.029545152294238496,-0.029545152294238496
0.0048936689999999989,-0.0042312708649915182,0.03154298797198854,-0.03154298797198854
0.0048936789999999989,-0.0032386329298236078,0.035871631940295988,-0.035871631940295988
0.0048936889999999997,-0.00026071912385885066,0.037869467618202896,-0.037869467618202896
0.0048936989999999996,0.0010627981230405224,0.038202440231032829,-0.038202440231032829
0.0048937089999999996,-0.0015842363709381818,0.03520568671450075,-0.03520568671450075
0.0048937189999999995,-0.00059159843572016702,0.033540823649762803,-0.033540823649762803
0.0048937289999999994,-0.0022459949945208809,0.032874878423883064,-0.032874878423883064
0.0048937389999999994,-0.0035695122415490528,0.033540823649797019,-0.033540823649797019
0.0048937489999999993,-0.0035695122415370156,0.034872714101614632,-0.034872714101614632
0.0048937589999999993,-0.0019151156827326909,0.037203522392280461,-0.037203522392280461
0.0048937689999999992,-0.0022459949944940976,0.037869467618185639,-0.037869467618185639
0.0048937789999999991,7.0160187823711546e-05,0.035538659327531155,-0.035538659327531155
0.0048937889999999991,-0.0025768743062156308,0.034206768875710364,-0.034206768875710364
0.004893798999999999,-0.00092247774747976807,0.035871631940423483,-0.035871631940423483
0.004893808999999999,-0.00026071912393438486,0.03753649500518641,-0.03753649500518641
0.0048938189999999989,-0.001584236370923135,0.037536495005234108,-0.037536495005234108
0.0048938289999999988,-0.0025768743062187906,0.038868385456998417,-0.038868385456998417
0.0048938389999999997,-0.0025768743062589651,0.041199193747747678,-0.041199193747747678
0.0048938489999999996,-0.0025768743062589651,0.041532166360665743,-0.041532166360665743
0.0048938589999999995,-0.0025768743062968827,0.040866221134884577,-0.040866221134884577
0.0048938689999999995,-0.0039003915532522292,0.044528919877287312,-0.044528919877287312
0.0048938789999999994,-0.0012533570591943797,0.044861892490256711,-0.044861892490256711
0.0048938889999999994,-0.00059159843571128957,0.046193782942067052,-0.046193782942067052
0.0048938989999999993,-0.0035695122415672592,0.047525673393872397,-0.047525673393872397
0.0048939089999999992,-0.0072091846709427324,0.047858646006824983,-0.047858646006824983
0.0048939189999999992,-0.0022459949945294573,0.053852153039966377,-0.053852153039966377
0.0048939289999999991,-0.0009224777474596056,0.054185125652957425,-0.054185125652957425
0.0048939389999999991,-0.0029077536179844101,0.052520262588220845,-0.052520262588220845
0.004893948999999999,-0.0068783053590833719,0.053519180427027718,-0.053519180427027718
0.0048939589999999989,-0.0058856674239232869,0.058513769621216578,-0.058513769621216578
0.0048939689999999989,-0.0032386329298831926,0.06450727665433223,-0.06450727665433223
0.0048939789999999988,-0.0025768743062872528,0.065506194493373957,-0.065506194493373957
0.0048939889999999996,-0.002907753618047606,0.062176468363832962,-0.062176468363832962
0.0048939989999999996,-0.0035695122416452008,0.061177550525168718,-0.061177550525168718
0.0048940089999999995,-0.0065474260473669544,0.066172139719483852,-0.066172139719483852
0.0048940189999999995,-0.0045621501768323709,0.072165646752589518,-0.072165646752589518
0.0048940289999999994,-0.0042312708650757789,0.076161318108015699,-0.076161318108015699
0.0048940389999999993,-0.0042312708650729201,0.079824016850476881,-0.079824016850476881
0.0048940489999999993,-0.0039003915533206914,0.081488879915241313,-0.081488879915241313
0.0048940589999999992,-0.0075400639826961645,0.08415266081886201,-0.08415266081886201
0.0048940689999999992,-0.0058856674239083908,0.088481304787239562,-0.088481304787239562
0.0048940789999999991,-0.0065474260474090856,0.092144003529724364,-0.092144003529724364
0.004894088999999999,-0.006547426047419317,0.09547372965925538,-0.09547372965925538
0.004894098999999999,-0.0052239088004019784,0.09847048317583576,-0.09847048317583576
0.0048941089999999989,-0.0058856674238706233,0.10213318191829604,-0.10213318191829604
0.0048941189999999989,-0.0075400639826447048,0.10279912714430069,-0.10279912714430069
0.0048941289999999997,-0.0082018226061807593,0.10246615453166472,-0.10246615453166472
0.0048941389999999996,-0.0068783053591470189,0.1094585794035494,-0.1094585794035494
0.0048941489999999995,-0.0058856674240216917,0.11312127814582797,-0.11312127814582797
0.0048941589999999995,-0.010187098476800358,0.11012452462939915,-0.11012452462939915
0.0048941689999999994,-0.0095253398531839548,0.11312127814605373,-0.11312127814605373
